,Elizabethan Era,Arma Veyron,Moreartsthanclass,Whereyagoinbabe,Martha Lavinia,Dougs Cino,Moneymakinmonkey,Ronzel Micky,Maxines Delight,Coco Beach
10-01-2023 20:47:56.640178,"(61.0, 85.0, 75.0)","(4.4, 8.8, 8.457142857142857)","(12.0, 13.5, 12.65)","(5.0, 7.8, 8.133333333333333)","(6.5, 7.6, 6.870588235294117)","(8.0, 11.5, 11.545454545454545)","(15.0, 25.0, 21.307692307692307)","(91.0, 150.0, 123.33333333333333)","(7.5, 9.0, 8.4)","(3.6, 3.75, 3.727777777777778)"
10-01-2023 20:47:58.119806,"(61.0, 85.0, 75.0)","(4.4, 8.8, 8.615384615384617)","(12.0, 14.0, 12.636363636363637)","(5.0, 9.2, 8.3)","(6.5, 7.4, 6.866666666666666)","(8.0, 12.0, 11.666666666666666)","(15.0, 25.0, 21.5)","(91.0, 150.0, 123.33333333333333)","(7.5, 9.0, 8.2)","(3.6, 3.75, 3.727777777777778)"
10-01-2023 20:47:59.820173,"(61.0, 85.0, 75.0)","(4.4, 8.8, 8.615384615384617)","(12.0, 14.0, 12.75)","(5.0, 8.8, 8.65)","(6.5, 7.4, 6.866666666666666)","(8.0, 12.0, 11.666666666666666)","(15.0, 24.0, 24.666666666666668)","(91.0, 150.0, 120.0)","(7.5, 9.0, 8.2)","(3.6, 3.75, 3.727777777777778)"
10-01-2023 20:48:01.373762,"(61.0, 85.0, 75.0)","(4.4, 8.8, 9.64)","(12.0, 14.0, 12.75)","(5.0, 8.8, 8.2)","(6.5, 7.4, 6.866666666666666)","(8.0, 12.0, 11.666666666666666)","(16.0, 25.0, 22.823529411764707)","(91.0, 140.0, 140.0)","(7.5, 9.0, 8.2)","(3.5, 3.75, 3.727777777777778)"
10-01-2023 20:48:03.005520,"(61.0, 85.0, 75.0)","(4.6, 9.8, 9.266666666666667)","(12.0, 14.0, 12.75)","(5.0, 8.6, 8.0)","(6.5, 7.4, 6.866666666666666)","(8.0, 12.0, 11.666666666666666)","(16.0, 26.0, 23.176470588235293)","(91.0, 170.0, 122.5)","(7.5, 9.0, 7.909090909090909)","(3.5, 3.75, 3.727777777777778)"
10-01-2023 20:48:04.715252,"(61.0, 85.0, 75.0)","(4.6, 9.8, 9.266666666666667)","(12.0, 14.0, 12.75)","(5.0, 8.6, 8.0)","(6.5, 7.4, 6.866666666666666)","(8.0, 12.0, 11.666666666666666)","(16.0, 24.0, 23.176470588235293)","(91.0, 160.0, 122.5)","(7.5, 9.0, 7.909090909090909)","(3.5, 3.75, 3.727777777777778)"
10-01-2023 20:48:06.433891,"(61.0, 85.0, 75.0)","(4.6, 9.8, 9.378947368421054)","(12.0, 14.0, 12.666666666666666)","(5.0, 8.6, 7.714285714285714)","(6.5, 7.4, 7.444444444444445)","(8.0, 12.0, 11.666666666666666)","(16.0, 24.0, 23.82758620689655)","(91.0, 160.0, 122.5)","(7.5, 9.0, 7.909090909090909)","(3.5, 3.75, 3.6441176470588235)"
10-01-2023 20:48:07.973734,"(61.0, 85.0, 75.0)","(4.6, 9.8, 9.378947368421054)","(12.0, 14.0, 12.666666666666666)","(5.0, 8.4, 7.714285714285714)","(6.5, 7.8, 7.428571428571428)","(8.0, 12.0, 11.428571428571429)","(16.0, 26.0, 24.551724137931036)","(91.0, 160.0, 122.5)","(7.5, 9.0, 7.909090909090909)","(3.5, 3.75, 3.6441176470588235)"
10-01-2023 20:48:09.441791,"(61.0, 85.0, 75.0)","(4.6, 9.8, 9.378947368421054)","(12.0, 14.0, 12.666666666666666)","(5.0, 8.4, 8.057142857142857)","(6.5, 7.6, 7.090909090909091)","(8.0, 12.0, 11.428571428571429)","(16.0, 26.0, 24.727272727272727)","(91.0, 160.0, 122.5)","(7.5, 9.0, 7.909090909090909)","(3.5, 3.75, 3.6441176470588235)"
10-01-2023 20:48:10.883196,"(61.0, 85.0, 75.0)","(5.5, 9.8, 9.378947368421054)","(12.0, 14.0, 12.136363636363637)","(5.5, 8.4, 8.057142857142857)","(6.0, 7.6, 7.085714285714285)","(8.0, 12.0, 11.428571428571429)","(16.0, 26.0, 24.761904761904763)","(91.0, 160.0, 118.33333333333333)","(7.5, 9.0, 7.909090909090909)","(3.3, 3.75, 3.6441176470588235)"
