,Serene Warrior,Perkeo,Mikeys Jewel,Switchrattlenroll,Wicked T,Car Lady,Holmdel Park,Folk Hero,Teacher Drama
12-01-2023 11:27:44.807869,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.259090909090909)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:45.896347,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.259090909090909)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:47.056665,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.259090909090909)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:48.223107,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.259090909090909)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:49.266279,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.259090909090909)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:50.490612,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.259090909090909)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:51.719750,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.259090909090909)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:52.936780,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 2.6166666666666667)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:54.053126,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 2.8154545454545454)","(17.0, 150.0, 104.33333333333333)"
12-01-2023 11:27:55.264278,"(3.8, 7.0, 6.1875)","(3.8, 7.4, 6.136842105263158)","(26.0, 230.0, 187.7)","(31.0, 230.0, 157.5)","(19.0, 170.0, 144.0)","(6.5, 10.5, 5.699999999999999)","(16.0, 230.0, 198.92857142857144)","(2.9, 3.55, 3.1354545454545453)","(17.0, 150.0, 104.33333333333333)"
