,Lady Luck,Curls Victory,Victa Mikey,Aston Bel Air,Emerley Aussie,Rage Quit
0,"[datetime.datetime(2022, 11, 28, 20, 24, 44, 710716), 2.9, 5.8]","[datetime.datetime(2022, 11, 28, 20, 24, 44, 710716), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 44, 710716), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 44, 710716), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 44, 710716), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 44, 710716), 3.4, 3.95]"
1,"[datetime.datetime(2022, 11, 28, 20, 24, 45, 845232), 2.9, 5.8]","[datetime.datetime(2022, 11, 28, 20, 24, 45, 845232), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 45, 845232), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 45, 845232), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 45, 845232), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 45, 845232), 3.4, 3.95]"
2,"[datetime.datetime(2022, 11, 28, 20, 24, 47, 53220), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 20, 24, 47, 53220), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 47, 53220), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 47, 53220), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 47, 53220), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 47, 53220), 3.4, 3.95]"
3,"[datetime.datetime(2022, 11, 28, 20, 24, 48, 164815), 2.9, 6.2]","[datetime.datetime(2022, 11, 28, 20, 24, 48, 164815), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 48, 164815), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 48, 164815), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 48, 164815), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 48, 164815), 3.4, 3.95]"
4,"[datetime.datetime(2022, 11, 28, 20, 24, 49, 267576), 2.9, 6.2]","[datetime.datetime(2022, 11, 28, 20, 24, 49, 267576), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 49, 267576), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 49, 267576), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 49, 267576), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 49, 267576), 3.4, 3.95]"
5,"[datetime.datetime(2022, 11, 28, 20, 24, 50, 364379), 2.9, 6.2]","[datetime.datetime(2022, 11, 28, 20, 24, 50, 364379), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 50, 364379), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 50, 364379), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 50, 364379), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 50, 364379), 3.4, 3.95]"
6,"[datetime.datetime(2022, 11, 28, 20, 24, 51, 460061), 2.9, 6.2]","[datetime.datetime(2022, 11, 28, 20, 24, 51, 460061), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 51, 460061), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 51, 460061), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 51, 460061), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 51, 460061), 3.4, 3.95]"
7,"[datetime.datetime(2022, 11, 28, 20, 24, 52, 567544), 2.9, 6.2]","[datetime.datetime(2022, 11, 28, 20, 24, 52, 567544), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 52, 567544), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 52, 567544), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 52, 567544), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 52, 567544), 3.4, 3.95]"
8,"[datetime.datetime(2022, 11, 28, 20, 24, 53, 672343), 2.9, 5.9]","[datetime.datetime(2022, 11, 28, 20, 24, 53, 672343), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 53, 672343), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 53, 672343), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 53, 672343), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 53, 672343), 3.4, 3.95]"
9,"[datetime.datetime(2022, 11, 28, 20, 24, 54, 773089), 2.9, 5.9]","[datetime.datetime(2022, 11, 28, 20, 24, 54, 773089), 2.5, 3.95]","[datetime.datetime(2022, 11, 28, 20, 24, 54, 773089), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 20, 24, 54, 773089), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 24, 54, 773089), 71.0, 550.0]","[datetime.datetime(2022, 11, 28, 20, 24, 54, 773089), 3.4, 3.95]"
