,Flight To Mars,Ranger Rod,Louie Luxe,Rissoles,Pay The Prince,Who Did That,Yosemite Sam,Tricky Trenear
0,"[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 29, 221077), 6.0, 12.0]"
1,"[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 371295), 6.0, 12.0]"
2,"[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 506933), 6.0, 12.0]"
3,"[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 32, 648532), 6.0, 12.0]"
4,"[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 775470), 6.0, 12.0]"
5,"[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 907642), 6.0, 12.0]"
6,"[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 36756), 6.0, 12.0]"
7,"[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 175127), 6.0, 12.0]"
8,"[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 313612), 6.0, 12.0]"
9,"[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 3.4, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 3.3, 4.8]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 21.0, 100.0]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 41.0, 310.0]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 8.0, 15.0]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 449003), 6.0, 12.0]"
