,Bayonet Soldier,Whistle On By,Cavalryman Nz,Rocknroll Yankee,The Kapiti Express Nz,Joonior Brown,Uncle Leo
0,"[datetime.datetime(2022, 11, 28, 14, 16, 56, 934094), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 16, 56, 934094), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 16, 56, 934094), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 16, 56, 934094), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 16, 56, 934094), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 16, 56, 934094), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 16, 56, 934094), 101.0, 400.0]"
1,"[datetime.datetime(2022, 11, 28, 14, 16, 58, 110853), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 16, 58, 110853), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 16, 58, 110853), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 16, 58, 110853), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 16, 58, 110853), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 16, 58, 110853), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 16, 58, 110853), 101.0, 400.0]"
2,"[datetime.datetime(2022, 11, 28, 14, 16, 59, 281939), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 16, 59, 281939), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 16, 59, 281939), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 16, 59, 281939), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 16, 59, 281939), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 16, 59, 281939), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 16, 59, 281939), 101.0, 400.0]"
3,"[datetime.datetime(2022, 11, 28, 14, 17, 0, 454856), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 0, 454856), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 0, 454856), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 0, 454856), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 0, 454856), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 0, 454856), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 0, 454856), 101.0, 400.0]"
4,"[datetime.datetime(2022, 11, 28, 14, 17, 1, 618606), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 1, 618606), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 1, 618606), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 1, 618606), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 1, 618606), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 1, 618606), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 1, 618606), 101.0, 400.0]"
5,"[datetime.datetime(2022, 11, 28, 14, 17, 2, 782405), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 2, 782405), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 2, 782405), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 2, 782405), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 2, 782405), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 2, 782405), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 2, 782405), 101.0, 400.0]"
6,"[datetime.datetime(2022, 11, 28, 14, 17, 3, 954194), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 3, 954194), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 3, 954194), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 3, 954194), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 3, 954194), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 3, 954194), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 3, 954194), 101.0, 400.0]"
7,"[datetime.datetime(2022, 11, 28, 14, 17, 5, 128694), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 5, 128694), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 5, 128694), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 5, 128694), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 5, 128694), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 5, 128694), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 5, 128694), 101.0, 400.0]"
8,"[datetime.datetime(2022, 11, 28, 14, 17, 6, 297640), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 6, 297640), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 6, 297640), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 6, 297640), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 6, 297640), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 6, 297640), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 6, 297640), 101.0, 400.0]"
9,"[datetime.datetime(2022, 11, 28, 14, 17, 7, 459619), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 7, 459619), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 7, 459619), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 7, 459619), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 7, 459619), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 7, 459619), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 7, 459619), 101.0, 400.0]"
10,"[datetime.datetime(2022, 11, 28, 14, 17, 8, 624131), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 8, 624131), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 8, 624131), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 8, 624131), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 8, 624131), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 8, 624131), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 8, 624131), 101.0, 400.0]"
11,"[datetime.datetime(2022, 11, 28, 14, 17, 9, 791950), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 9, 791950), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 9, 791950), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 9, 791950), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 9, 791950), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 9, 791950), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 9, 791950), 101.0, 400.0]"
12,"[datetime.datetime(2022, 11, 28, 14, 17, 10, 960407), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 10, 960407), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 10, 960407), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 10, 960407), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 10, 960407), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 10, 960407), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 10, 960407), 101.0, 400.0]"
13,"[datetime.datetime(2022, 11, 28, 14, 17, 12, 127819), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 12, 127819), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 12, 127819), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 12, 127819), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 12, 127819), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 12, 127819), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 12, 127819), 101.0, 400.0]"
14,"[datetime.datetime(2022, 11, 28, 14, 17, 13, 302408), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 13, 302408), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 13, 302408), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 13, 302408), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 13, 302408), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 13, 302408), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 13, 302408), 101.0, 400.0]"
15,"[datetime.datetime(2022, 11, 28, 14, 17, 14, 474318), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 14, 474318), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 14, 474318), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 14, 474318), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 14, 474318), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 14, 474318), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 14, 474318), 101.0, 400.0]"
16,"[datetime.datetime(2022, 11, 28, 14, 17, 15, 646329), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 15, 646329), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 15, 646329), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 15, 646329), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 15, 646329), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 15, 646329), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 15, 646329), 101.0, 400.0]"
17,"[datetime.datetime(2022, 11, 28, 14, 17, 16, 809728), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 16, 809728), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 16, 809728), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 16, 809728), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 16, 809728), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 16, 809728), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 16, 809728), 101.0, 400.0]"
18,"[datetime.datetime(2022, 11, 28, 14, 17, 17, 968242), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 17, 968242), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 17, 968242), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 17, 968242), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 17, 968242), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 17, 968242), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 17, 968242), 101.0, 400.0]"
19,"[datetime.datetime(2022, 11, 28, 14, 17, 19, 135867), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 19, 135867), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 19, 135867), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 19, 135867), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 19, 135867), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 19, 135867), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 19, 135867), 101.0, 400.0]"
20,"[datetime.datetime(2022, 11, 28, 14, 17, 20, 364489), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 14, 17, 20, 364489), 4.4, 6.8]","[datetime.datetime(2022, 11, 28, 14, 17, 20, 364489), 9.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 20, 364489), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 14, 17, 20, 364489), 2.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 17, 20, 364489), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 14, 17, 20, 364489), 101.0, 400.0]"
