,Splash Some Cash,Run For Glory,Heir Of Tavistock,Tubby Two Tracks,Grinzinger Allee,Midnight Brawler,Metro Legend,Annika,Obi,Star Espresso,Enbarr,Fox Dor
07-01-2023 16:10:26.484785,"(19.0, 25.0, 22.98)","(20.0, 26.0, 26.59090909090909)","(7.0, 8.4, 8.276190476190475)","(12.0, 15.5, 15.318181818181818)","(31.0, 46.0, 45.785714285714285)","(71.0, 100.0, 106.92307692307692)","(3.3, 3.75, 3.8796511627906978)","(8.5, 10.0, 10.316498316498317)","(6.5, 7.2, 6.472560975609756)","(7.5, 9.2, 9.161052631578947)","(101.0, 330.0, 310.0)","(11.0, 13.0, 12.797546012269938)"
07-01-2023 16:10:28.057449,"(19.0, 23.0, 22.98)","(20.0, 27.0, 26.59090909090909)","(7.0, 8.4, 8.148679245283018)","(12.0, 15.5, 15.318181818181818)","(31.0, 46.0, 45.785714285714285)","(71.0, 110.0, 106.92307692307692)","(3.3, 3.9, 3.898936170212766)","(8.5, 10.5, 10.316498316498317)","(6.0, 6.6, 6.475816993464052)","(8.0, 9.2, 9.158426966292135)","(101.0, 330.0, 310.0)","(11.0, 13.0, 12.788690476190476)"
07-01-2023 16:10:29.960250,"(19.0, 23.0, 23.60655737704918)","(20.0, 27.0, 26.636363636363637)","(7.0, 8.2, 8.156270096463022)","(12.0, 15.5, 15.318181818181818)","(31.0, 46.0, 45.84615384615385)","(71.0, 110.0, 107.14285714285714)","(3.3, 3.9, 3.8759493670886074)","(8.5, 10.5, 10.293506493506493)","(6.0, 6.6, 6.480276816608996)","(8.0, 9.2, 9.164593301435406)","(101.0, 330.0, 315.0)","(11.0, 13.0, 12.812169312169312)"
07-01-2023 16:10:31.710366,"(19.0, 24.0, 23.135135135135137)","(20.0, 27.0, 26.825396825396826)","(7.0, 8.2, 8.107806691449813)","(12.0, 15.5, 15.273291925465838)","(31.0, 46.0, 46.4)","(71.0, 110.0, 104.28571428571429)","(3.4, 3.9, 3.8825)","(8.5, 10.5, 10.317241379310344)","(6.0, 6.6, 6.502107728337236)","(8.0, 9.2, 9.123717948717948)","(101.0, 330.0, 317.5)","(11.0, 13.0, 12.840807174887892)"
07-01-2023 16:10:33.412456,"(19.0, 25.0, 24.52577319587629)","(20.0, 27.0, 26.928571428571427)","(7.0, 8.2, 8.105162523900573)","(12.0, 15.5, 15.30163043478261)","(31.0, 48.0, 46.76056338028169)","(71.0, 110.0, 107.27272727272727)","(3.4, 3.9, 3.887762237762238)","(8.5, 10.5, 10.31221198156682)","(6.0, 6.6, 6.499783080260304)","(8.0, 9.2, 9.132386363636364)","(101.0, 340.0, 334.2857142857143)","(11.0, 13.0, 12.858)"
07-01-2023 16:10:34.889204,"(19.0, 25.0, 24.52577319587629)","(20.0, 27.0, 26.928571428571427)","(7.0, 8.2, 8.105162523900573)","(12.0, 15.5, 15.30163043478261)","(31.0, 48.0, 46.76056338028169)","(71.0, 110.0, 107.06521739130434)","(3.4, 3.9, 3.9110894941634244)","(8.5, 10.5, 10.325481798715204)","(6.0, 6.6, 6.535498839907192)","(8.0, 9.2, 8.548717948717949)","(101.0, 340.0, 333.3333333333333)","(11.0, 13.0, 12.895348837209303)"
07-01-2023 16:10:36.377616,"(19.0, 25.0, 24.81111111111111)","(20.0, 28.0, 26.958333333333332)","(7.0, 8.2, 8.11953578336557)","(12.0, 15.5, 15.327830188679245)","(31.0, 48.0, 47.0)","(71.0, 110.0, 107.06521739130434)","(3.4, 3.95, 3.9110894941634244)","(8.5, 10.5, 10.325481798715204)","(6.0, 6.6, 6.535498839907192)","(8.0, 8.6, 8.548717948717949)","(101.0, 340.0, 333.3333333333333)","(11.0, 13.0, 12.895348837209303)"
07-01-2023 16:10:37.834255,"(19.0, 25.0, 24.9125)","(20.0, 27.0, 26.884615384615383)","(7.0, 8.2, 8.11953578336557)","(12.0, 15.5, 15.327830188679245)","(31.0, 48.0, 47.0)","(71.0, 110.0, 107.24489795918367)","(3.4, 3.95, 3.94390243902439)","(8.5, 10.5, 10.323210412147505)","(6.0, 6.6, 6.537901498929336)","(8.0, 8.6, 8.580914512922465)","(101.0, 340.0, 335.0)","(11.0, 13.0, 12.903571428571428)"
07-01-2023 16:10:39.324074,"(19.0, 25.0, 24.98701298701299)","(20.0, 27.0, 26.883116883116884)","(7.0, 8.2, 8.121311475409836)","(12.0, 15.0, 14.93859649122807)","(31.0, 48.0, 47.022222222222226)","(71.0, 110.0, 107.32142857142857)","(3.4, 3.85, 3.8333333333333335)","(8.5, 10.5, 10.323210412147505)","(6.0, 6.8, 6.688642659279778)","(8.0, 8.8, 8.678313253012048)","(101.0, 340.0, 335.0)","(11.0, 13.0, 12.91)"
07-01-2023 16:10:41.002168,"(19.0, 26.0, 25.23076923076923)","(20.0, 28.0, 26.99310344827586)","(7.0, 8.2, 8.121311475409836)","(12.0, 15.0, 14.939655172413794)","(31.0, 55.0, 51.72727272727273)","(71.0, 110.0, 107.11538461538461)","(3.4, 3.95, 3.9387892376681615)","(8.5, 10.5, 10.344168260038241)","(6.0, 6.4, 6.377209302325582)","(8.0, 9.2, 8.905376344086022)","(101.0, 340.0, 335.0)","(11.0, 13.0, 12.882267441860465)"
