,Nelly Bigtime,Prodigal Guinness Nz,Mega Star,The Mighty Mondo Nz,Hezashadowplaya Nz,Miss Maravu,Rainbow Jet,Wotnow Swanee,Its Inevitable Nz
10-01-2023 18:00:30.833833,"(3.7, 7.0, 6.314285714285714)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 65.0, 30.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:32.430423,"(3.7, 7.0, 6.314285714285714)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 65.0, 30.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:33.787388,"(3.7, 7.0, 6.314285714285714)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 65.0, 30.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:35.077483,"(3.7, 7.0, 6.314285714285714)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 65.0, 30.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:36.467791,"(3.7, 7.0, 6.314285714285714)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 65.0, 30.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:37.718562,"(3.7, 7.0, 6.314285714285714)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 65.0, 30.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:38.962002,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 65.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:40.178056,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:41.447750,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 171.42857142857142)","(101.0, 99999, 99990)"
10-01-2023 18:00:42.666434,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:43.917136,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:45.194244,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:46.512267,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:47.784137,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:49.078042,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:50.397351,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:51.844434,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 20.4)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 23.5)","(71.0, 220.0, 188.0)","(81.0, 220.0, 177.14285714285714)","(101.0, 99999, 99990)"
10-01-2023 18:00:53.220344,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 26.0, 19.8)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 46.0, 27.333333333333336)","(71.0, 220.0, 180.0)","(81.0, 220.0, 170.0)","(101.0, 99999, 99990)"
10-01-2023 18:00:54.476600,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 25.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 210.0, 172.0)","(81.0, 210.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:00:55.720146,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:00:57.053016,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:00:58.373145,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:00.009019,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:01.521579,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:02.827596,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:04.137218,"(3.7, 7.0, 6.466666666666667)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:05.399278,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:06.658890,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:07.828900,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:09.145907,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:10.467147,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:11.904731,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:13.239474,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
10-01-2023 18:01:14.559104,"(3.7, 7.0, 6.08)","(1.55, 99999, 99990)","(12.0, 24.0, 19.2)","(7.5, 99999, 99990)","(12.0, 99999, 99990)","(16.0, 44.0, 27.333333333333336)","(71.0, 200.0, 172.0)","(81.0, 200.0, 162.85714285714286)","(101.0, 99999, 99990)"
