,Naomi Butterfly,Slingshot Bruno,Roxy Crumpet,Earn The Fizz,Mcivor Rusty,Wagtail Demon,Buck Hunter,Banjo Jack
04-01-2023 14:24:18.642361,"(4.8, 11.0, 10.266666666666666)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.685714285714287)"
04-01-2023 14:24:19.773464,"(4.8, 11.0, 10.266666666666666)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.685714285714287)"
04-01-2023 14:24:20.862561,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 9.8)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.685714285714287)"
04-01-2023 14:24:22.040398,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.685714285714287)"
04-01-2023 14:24:23.161818,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.685714285714287)"
04-01-2023 14:24:24.347670,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.8875)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:25.611247,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.8875)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:26.883758,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:28.147781,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:29.346116,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:30.488724,"(4.8, 11.0, 10.05)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.8875)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:31.604863,"(4.8, 11.0, 9.95)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:32.703834,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:33.851676,"(4.8, 11.0, 10.3)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.8875)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:35.073235,"(4.8, 11.0, 9.95)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.771428571428572)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:36.257858,"(4.8, 11.0, 9.95)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:37.526861,"(4.8, 11.0, 9.95)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 14.075000000000001)"
04-01-2023 14:24:38.748163,"(4.8, 11.0, 10.272727272727273)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.8875)","(2.45, 3.55, 2.569)","(9.0, 44.0, 25.692307692307693)"
04-01-2023 14:24:39.919722,"(4.8, 11.0, 10.272727272727273)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 13.416666666666666)","(12.0, 27.0, 14.5)","(11.0, 24.0, 13.166666666666666)","(7.0, 11.5, 10.8875)","(2.45, 3.55, 2.569)","(9.0, 44.0, 25.692307692307693)"
04-01-2023 14:24:41.172077,"(4.8, 11.0, 10.272727272727273)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 23.0)"
04-01-2023 14:24:42.329765,"(4.8, 11.0, 10.163636363636364)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 10.325)","(2.45, 3.55, 2.569)","(9.0, 44.0, 27.5)"
04-01-2023 14:24:43.419960,"(4.8, 11.0, 10.163636363636364)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 10.771428571428572)","(2.45, 3.55, 2.569)","(9.0, 44.0, 27.5)"
04-01-2023 14:24:44.487392,"(4.8, 9.8, 9.181818181818183)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 10.375)","(2.45, 3.55, 2.569)","(9.0, 44.0, 27.5)"
04-01-2023 14:24:45.604764,"(4.8, 9.8, 9.181818181818183)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.25)"
04-01-2023 14:24:46.833269,"(4.8, 9.8, 9.181818181818183)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:48.015822,"(4.8, 9.8, 9.181818181818183)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:49.192202,"(4.8, 9.8, 8.2)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:50.364102,"(4.8, 12.0, 7.235294117647059)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:51.480558,"(4.8, 11.0, 8.8)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:52.689109,"(4.8, 11.0, 8.8)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:53.855527,"(4.8, 11.0, 8.8)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:55.018921,"(4.8, 11.0, 10.169230769230769)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:56.201947,"(4.8, 11.0, 10.169230769230769)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 16.1875)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:57.374908,"(4.8, 11.0, 9.725)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:58.518336,"(4.8, 11.0, 10.285714285714285)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
04-01-2023 14:24:59.657612,"(4.8, 11.0, 9.977777777777778)","(6.0, 10.0, 9.316666666666666)","(8.5, 14.5, 12.925)","(12.0, 27.0, 14.5)","(11.0, 24.0, 17.5)","(7.0, 11.5, 11.054545454545455)","(2.45, 3.55, 2.569)","(9.0, 44.0, 21.6)"
