,Kaonic,Wild Willy,Hamslette,Star Jan,Ali Orphan,Carak,Coraggio,Innocent Pegg,Pretty Boy
04-01-2023 15:00:43.247456,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 7.8, 6.022222222222222)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.050000000000001)","(19.0, 38.0, 34.44444444444444)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:44.329013,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.8, 6.022222222222222)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.050000000000001)","(19.0, 38.0, 34.44444444444444)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:45.406398,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.8, 6.022222222222222)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.050000000000001)","(19.0, 38.0, 34.44444444444444)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:46.551337,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.8, 6.2)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.050000000000001)","(19.0, 38.0, 34.44444444444444)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:47.685931,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.8, 6.2)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.4, 7.1000000000000005)","(19.0, 38.0, 34.44444444444444)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:48.796710,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.8, 6.2)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.4, 6.800000000000001)","(19.0, 38.0, 34.44444444444444)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:49.967782,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.8, 6.2)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.800000000000001)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:51.104381,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.800000000000001)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:52.286031,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.800000000000001)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
04-01-2023 15:00:53.407192,"(13.0, 21.0, 19.875)","(4.2, 5.8, 5.62)","(3.9, 4.3, 4.117391304347826)","(5.5, 6.6, 6.12)","(16.0, 26.0, 23.4)","(5.0, 7.8, 7.625)","(4.8, 7.2, 6.800000000000001)","(19.0, 38.0, 32.666666666666664)","(61.0, 270.0, 180.0)"
