,Devon Lass,Nibiru,Captain Cruiser,Drop A Line,Count Me In,Bombers Smokey,Zipping Pip
09-01-2023 15:38:58.776646,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:00.073163,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:01.114414,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:02.185835,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:03.252650,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:04.304046,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:05.420180,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:06.567738,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:07.682596,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
09-01-2023 15:39:08.855901,"(3.0, 4.9, 3.3062500000000004)","(4.4, 6.6, 5.463636363636363)","(4.6, 8.6, 5.3999999999999995)","(10.0, 99999, 99990)","(10.0, 21.0, 20.240000000000002)","(18.0, 65.0, 43.40909090909091)","(3.7, 6.2, 3.676190476190476)"
