,Witty Wendy,Morse Code,Moonshine Babe,Haras Pearl,Mad Machine,Lord Yuri,Wild Oates
09-01-2023 17:56:59.253637,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 2.915)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:00.593276,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 2.915)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:01.812593,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:03.121628,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:04.385955,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:05.552951,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:06.851656,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:08.159265,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:09.384618,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
09-01-2023 17:57:10.607404,"(3.6, 7.2, 5.3671875)","(2.8, 4.4, 3.05)","(10.0, 21.0, 20.2)","(4.4, 6.8, 6.26)","(4.8, 9.0, 5.013333333333334)","(13.0, 30.0, 28.541666666666664)","(14.0, 32.0, 30.363636363636363)"
