,Bow Six,Arrogant Benji,Blue Zeal,Sketchy Combat,Emas One,Uno Shelby,Tommy Tuna,Five Mile Rose
05-01-2023 17:04:38.990649,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 5.133333333333334)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 32.75)","(3.9, 5.9, 4.566666666666666)","(3.4, 4.5, 4.212)"
05-01-2023 17:04:40.186333,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 5.133333333333334)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 32.75)","(3.9, 5.9, 4.566666666666666)","(3.4, 4.5, 4.212)"
05-01-2023 17:04:41.385489,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 5.133333333333334)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 32.75)","(3.9, 5.9, 4.566666666666666)","(3.4, 4.5, 4.212)"
05-01-2023 17:04:42.618243,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 5.133333333333334)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.566666666666666)","(3.4, 4.5, 4.212)"
05-01-2023 17:04:44.224681,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.447272727272727)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.566666666666666)","(3.4, 4.5, 4.212)"
05-01-2023 17:04:45.744659,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 7.0, 5.2)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:47.281567,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:48.508070,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:49.624580,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:51.130923,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:52.739379,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:53.941156,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:55.163436,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:56.379869,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:57.663606,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:04:58.945660,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:00.175507,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:01.378507,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:02.797482,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.07142857142857)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:03.997275,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:05.132451,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:06.301585,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:07.770608,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:08.927263,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.618181818181818)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:10.350047,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.8, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:11.586269,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:12.807855,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:14.084927,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:15.314567,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:16.667956,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:18.133958,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
05-01-2023 17:05:19.523948,"(6.5, 11.0, 9.181818181818182)","(21.0, 60.0, 32.36363636363636)","(4.0, 6.6, 4.62)","(4.4, 8.4, 7.342857142857143)","(81.0, 230.0, 205.0)","(11.0, 38.0, 35.14285714285714)","(3.9, 5.9, 4.1)","(3.4, 4.5, 4.405263157894737)"
