,Super Swoop,Mr Freeze,Alpine Aviator,Imagine Howe,Geegee Lucky Jess,Incriminate,Iris West,Mariposa,Hermans Bells
07-12-2022 19:59:39.728731,"(41.0, 240.0, 138.0)","(4.6, 5.8, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:40.875120,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:42.020710,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:43.284146,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:44.460380,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:45.679284,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:46.903547,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:48.164642,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:49.486327,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.325)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
07-12-2022 19:59:50.783977,"(41.0, 230.0, 138.0)","(4.6, 5.7, 5.485714285714286)","(6.5, 8.6, 8.137142857142857)","(3.0, 3.6, 3.5125)","(4.4, 5.9, 5.872222222222223)","(16.0, 26.0, 20.0)","(16.0, 25.0, 20.0)","(6.0, 8.8, 8.16)","(19.0, 30.0, 25.333333333333332)"
