,Miss Adobe,Ezra Blueblood,Diamond Harmony,Romeo,Trousseau,Mine Hunter,Taieri Taylee
10-01-2023 11:11:48.077461,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:49.037244,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:50.004086,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:51.000691,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:51.903805,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:52.815515,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:53.712434,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:54.620007,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:55.576502,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:56.466824,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:57.443207,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:58.374299,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:11:59.347773,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:00.304167,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:01.295763,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:02.253918,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:03.214996,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
10-01-2023 11:12:04.142802,"(3.6, 5.4, 4.2615384615384615)","(31.0, 340.0, 168.88888888888889)","(2.7, 3.15, 3.0425)","(8.0, 16.0, 14.714285714285715)","(3.8, 7.4, 6.233333333333333)","(12.0, 25.0, 24.147058823529413)","(5.5, 10.5, 10.146666666666667)"
