,Iddy Biddy,Ladawn,Mustangmagna,Sherrys Baby,Beautiful Taps,Love Perfection
08-12-2022 12:31:13.912936,"(10.0, 13.5, 13.433333333333334)","(3.2, 3.65, 3.646969696969697)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 46.0, 36.666666666666664)","(5.0, 6.0, 5.8)"
08-12-2022 12:31:14.792730,"(10.0, 14.0, 13.555555555555555)","(3.2, 3.65, 3.646969696969697)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.5736842105263165)"
08-12-2022 12:31:15.678169,"(10.0, 14.0, 13.555555555555555)","(3.2, 3.65, 3.646969696969697)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.5736842105263165)"
08-12-2022 12:31:16.559240,"(10.0, 14.0, 13.555555555555555)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.578378378378378)"
08-12-2022 12:31:17.410215,"(10.0, 14.0, 13.555555555555555)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.578378378378378)"
08-12-2022 12:31:18.279118,"(10.0, 14.0, 13.555555555555555)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.535714285714286)"
08-12-2022 12:31:19.202173,"(10.0, 14.0, 13.666666666666666)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.535714285714286)"
08-12-2022 12:31:20.090749,"(10.0, 14.0, 13.666666666666666)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.535714285714286)"
08-12-2022 12:31:20.971434,"(10.0, 14.0, 13.666666666666666)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.535714285714286)"
08-12-2022 12:31:21.821533,"(10.0, 14.0, 13.666666666666666)","(3.2, 3.7, 3.6566666666666667)","(6.0, 7.8, 7.62)","(2.7, 3.2, 3.1653846153846157)","(21.0, 48.0, 37.333333333333336)","(5.0, 6.0, 5.6454545454545455)"
