,Daisys Fernando,Dana Bull,Stilton Freckle,Blazing Tokyo,Skedaddle Shelly,King Messy
09-01-2023 17:31:33.358523,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:34.398843,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:35.503364,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:36.720690,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:37.891478,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:39.011970,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:40.085049,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:41.138537,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:42.283119,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
09-01-2023 17:31:43.439969,"(4.6, 9.0, 7.2)","(26.0, 100.0, 55.07692307692307)","(5.0, 9.8, 7.34)","(2.4, 2.48, 2.4553424657534246)","(20.0, 50.0, 29.666666666666664)","(2.8, 4.7, 3.566666666666667)"
