,Nimue,Magic Zimba,Woodside Gracie,Hayride Parker,Brodhurst,Saint Frawley
11-01-2023 11:06:25.373725,"(1.9, 2.08, 2.0726027397260274)","(10.0, 22.0, 19.583333333333332)","(2.35, 2.56, 2.489411764705882)","(14.0, 22.0, 21.09722222222222)","(11.0, 60.0, 63.333333333333336)","(31.0, 90.0, 82.5)"
11-01-2023 11:06:26.263569,"(1.9, 2.08, 2.0786440677966103)","(10.0, 22.0, 19.28125)","(2.35, 2.54, 2.489411764705882)","(14.0, 22.0, 21.09722222222222)","(11.0, 70.0, 66.53846153846153)","(31.0, 90.0, 82.5)"
11-01-2023 11:06:27.127807,"(1.9, 2.08, 2.075625)","(10.0, 22.0, 19.28125)","(2.35, 2.54, 2.497)","(14.0, 22.0, 21.144736842105264)","(11.0, 70.0, 66.53846153846153)","(31.0, 90.0, 82.5)"
11-01-2023 11:06:27.992605,"(1.9, 2.08, 2.0786440677966103)","(10.0, 22.0, 19.28125)","(2.35, 2.54, 2.4939285714285715)","(14.0, 22.0, 21.144736842105264)","(11.0, 70.0, 63.333333333333336)","(31.0, 90.0, 83.33333333333333)"
11-01-2023 11:06:28.846607,"(1.9, 2.08, 2.075625)","(10.0, 22.0, 19.28125)","(2.35, 2.54, 2.497)","(14.0, 22.0, 21.144736842105264)","(11.0, 70.0, 65.71428571428571)","(31.0, 90.0, 84.0)"
11-01-2023 11:06:29.712403,"(1.9, 2.08, 2.0730434782608698)","(10.0, 22.0, 19.28125)","(2.35, 2.54, 2.4996875)","(14.0, 22.0, 20.5)","(11.0, 70.0, 64.0)","(31.0, 90.0, 84.0)"
11-01-2023 11:06:30.563468,"(1.9, 2.12, 2.0890322580645164)","(10.0, 22.0, 19.310344827586206)","(2.35, 2.54, 2.4702702702702704)","(14.0, 22.0, 20.58823529411765)","(11.0, 70.0, 68.57142857142857)","(31.0, 90.0, 85.0)"
11-01-2023 11:06:31.604658,"(1.9, 2.12, 2.067142857142857)","(10.0, 22.0, 19.620689655172413)","(2.35, 2.52, 2.4967441860465116)","(14.0, 22.0, 21.142857142857142)","(11.0, 70.0, 68.57142857142857)","(31.0, 95.0, 87.0)"
11-01-2023 11:06:32.628681,"(1.9, 2.12, 2.0794520547945208)","(10.0, 22.0, 19.677419354838708)","(2.35, 2.52, 2.495925925925926)","(14.0, 22.0, 21.142857142857142)","(11.0, 70.0, 68.57142857142857)","(31.0, 95.0, 87.0)"
11-01-2023 11:06:33.590851,"(1.9, 2.12, 2.075151515151515)","(10.0, 22.0, 19.677419354838708)","(2.35, 2.52, 2.493469387755102)","(14.0, 22.0, 21.142857142857142)","(11.0, 70.0, 68.57142857142857)","(31.0, 95.0, 87.0)"
11-01-2023 11:06:34.501724,"(1.9, 2.12, 2.0817241379310345)","(10.0, 22.0, 19.677419354838708)","(2.35, 2.52, 2.4982608695652173)","(14.0, 22.0, 21.142857142857142)","(11.0, 70.0, 68.57142857142857)","(31.0, 95.0, 87.0)"
11-01-2023 11:06:35.391068,"(1.9, 2.12, 2.095056179775281)","(10.0, 22.0, 19.677419354838708)","(2.35, 2.52, 2.4982608695652173)","(14.0, 22.0, 21.142857142857142)","(11.0, 70.0, 68.66666666666667)","(31.0, 95.0, 87.0)"
11-01-2023 11:06:36.391276,"(1.9, 2.12, 2.0988571428571428)","(10.0, 22.0, 19.677419354838708)","(2.35, 2.52, 2.4982608695652173)","(14.0, 22.0, 21.142857142857142)","(11.0, 70.0, 68.66666666666667)","(31.0, 95.0, 87.0)"
11-01-2023 11:06:37.496318,"(1.9, 2.12, 2.0988571428571428)","(10.0, 22.0, 19.677419354838708)","(2.35, 2.52, 2.4780645161290322)","(14.0, 22.0, 21.677419354838708)","(11.0, 70.0, 71.0)","(31.0, 95.0, 88.84615384615384)"
11-01-2023 11:06:38.356462,"(1.9, 2.2, 2.1552000000000002)","(10.0, 22.0, 19.91304347826087)","(2.35, 2.52, 2.404444444444444)","(14.0, 22.0, 21.677419354838708)","(11.0, 95.0, 71.0)","(31.0, 95.0, 88.84615384615384)"
11-01-2023 11:06:39.279312,"(1.9, 2.18, 2.14)","(10.0, 22.0, 19.692307692307693)","(2.35, 2.5, 2.478181818181818)","(14.0, 25.0, 24.193548387096776)","(11.0, 80.0, 67.5)","(31.0, 95.0, 88.33333333333333)"
11-01-2023 11:06:40.248515,"(1.9, 2.18, 2.1550000000000002)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.48, 2.4145454545454546)","(14.0, 25.0, 22.6)","(11.0, 95.0, 87.5)","(31.0, 95.0, 88.33333333333333)"
11-01-2023 11:06:41.161087,"(1.9, 2.2, 2.1722222222222225)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.48, 2.4464)","(14.0, 25.0, 22.714285714285715)","(11.0, 90.0, 83.75)","(31.0, 95.0, 88.33333333333333)"
11-01-2023 11:06:42.314287,"(1.9, 2.2, 2.1500000000000004)","(10.0, 22.0, 19.818181818181817)","(2.35, 2.48, 2.4464)","(14.0, 25.0, 22.846153846153847)","(11.0, 90.0, 85.45454545454545)","(31.0, 95.0, 88.33333333333333)"
