,Mr Wallace,The Heavyweight,Skylon,Our Kinsmen,Wild Irish Rover,Promise The Moon,Ultron,Loniesha,Nullify,Raging Climax
14-12-2022 13:45:01.668262,"(2.3, 2.58, 2.532112676056338)","(101.0, 850.0, 586.3636363636364)","(19.0, 38.0, 33.5)","(41.0, 50.0, 53.94117647058823)","(2.7, 3.4, 3.3189189189189188)","(14.0, 18.5, 17.15)","(51.0, 90.0, 80.0)","(71.0, 240.0, 138.0)","(4.8, 7.0, 6.720000000000001)","(31.0, 210.0, 166.5)"
14-12-2022 13:45:02.909209,"(2.3, 2.58, 2.532112676056338)","(101.0, 830.0, 586.3636363636364)","(19.0, 38.0, 35.75)","(41.0, 55.0, 53.94117647058823)","(2.7, 3.4, 3.3661654135338344)","(14.0, 18.5, 17.15)","(51.0, 90.0, 80.0)","(71.0, 240.0, 138.0)","(4.8, 7.2, 6.720000000000001)","(31.0, 210.0, 123.0)"
14-12-2022 13:45:04.184837,"(2.3, 2.58, 2.536687898089172)","(101.0, 830.0, 629.0)","(19.0, 38.0, 34.142857142857146)","(41.0, 55.0, 49.529411764705884)","(2.7, 3.4, 3.3685314685314687)","(14.0, 18.5, 17.15)","(51.0, 90.0, 80.0)","(71.0, 240.0, 138.0)","(4.8, 7.2, 6.8)","(31.0, 210.0, 123.0)"
14-12-2022 13:45:05.404006,"(2.3, 2.58, 2.536687898089172)","(101.0, 820.0, 622.0)","(19.0, 38.0, 34.142857142857146)","(41.0, 50.0, 49.529411764705884)","(2.7, 3.4, 3.3685314685314687)","(14.0, 18.5, 17.15)","(51.0, 90.0, 80.0)","(71.0, 240.0, 180.0)","(4.8, 7.0, 6.8)","(31.0, 210.0, 103.33333333333334)"
14-12-2022 13:45:06.826520,"(2.3, 2.58, 2.536687898089172)","(101.0, 790.0, 601.0)","(19.0, 36.0, 33.666666666666664)","(41.0, 50.0, 49.529411764705884)","(2.7, 3.4, 3.3685314685314687)","(14.0, 18.5, 17.15)","(51.0, 90.0, 80.0)","(71.0, 290.0, 154.0)","(4.8, 7.0, 6.8)","(31.0, 180.0, 121.66666666666666)"
14-12-2022 13:45:08.221507,"(2.3, 2.58, 2.536687898089172)","(101.0, 770.0, 587.0)","(19.0, 36.0, 33.666666666666664)","(41.0, 50.0, 52.774193548387096)","(2.7, 3.4, 3.3685314685314687)","(14.0, 18.5, 17.157894736842106)","(51.0, 90.0, 80.0)","(71.0, 280.0, 170.0)","(4.8, 7.0, 6.628571428571429)","(31.0, 150.0, 83.57142857142857)"
14-12-2022 13:45:09.849952,"(2.3, 2.58, 2.529333333333333)","(101.0, 750.0, 510.0)","(19.0, 36.0, 33.666666666666664)","(41.0, 60.0, 52.774193548387096)","(2.7, 3.4, 3.3117647058823527)","(14.0, 18.5, 17.157894736842106)","(51.0, 90.0, 95.0)","(71.0, 270.0, 146.0)","(4.8, 7.2, 6.628571428571429)","(31.0, 130.0, 91.0)"
14-12-2022 13:45:11.243549,"(2.3, 2.58, 2.5424691358024694)","(101.0, 710.0, 497.27272727272725)","(19.0, 36.0, 33.666666666666664)","(41.0, 60.0, 52.774193548387096)","(2.7, 3.4, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 120.0, 105.55555555555556)","(71.0, 260.0, 146.0)","(4.8, 7.2, 6.628571428571429)","(31.0, 130.0, 95.0)"
14-12-2022 13:45:12.585718,"(2.3, 2.58, 2.5424691358024694)","(101.0, 690.0, 497.27272727272725)","(19.0, 36.0, 29.272727272727273)","(41.0, 60.0, 53.94117647058823)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 106.36363636363636)","(71.0, 260.0, 146.0)","(4.8, 7.2, 6.8)","(31.0, 110.0, 123.0)"
14-12-2022 13:45:13.962528,"(2.3, 2.58, 2.546222222222222)","(101.0, 740.0, 526.6666666666667)","(19.0, 32.0, 29.244897959183675)","(41.0, 55.0, 49.529411764705884)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 106.36363636363636)","(61.0, 260.0, 146.0)","(4.8, 7.0, 6.88)","(31.0, 140.0, 115.0)"
14-12-2022 13:45:15.339749,"(2.3, 2.58, 2.5526582278481014)","(101.0, 710.0, 586.6666666666667)","(19.0, 32.0, 29.244897959183675)","(41.0, 50.0, 49.529411764705884)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 106.36363636363636)","(61.0, 260.0, 146.0)","(4.8, 7.0, 6.936842105263158)","(31.0, 130.0, 115.0)"
14-12-2022 13:45:16.882764,"(2.3, 2.58, 2.5526582278481014)","(101.0, 800.0, 566.6666666666667)","(19.0, 32.0, 29.244897959183675)","(41.0, 50.0, 49.529411764705884)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 106.36363636363636)","(61.0, 260.0, 178.57142857142856)","(4.8, 7.0, 6.936842105263158)","(31.0, 130.0, 77.5)"
14-12-2022 13:45:18.154936,"(2.3, 2.58, 2.544782608695652)","(101.0, 770.0, 566.6666666666667)","(19.0, 32.0, 29.545454545454547)","(41.0, 50.0, 49.529411764705884)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 106.36363636363636)","(61.0, 260.0, 208.1818181818182)","(4.8, 7.0, 6.92)","(31.0, 130.0, 120.0)"
14-12-2022 13:45:19.469166,"(2.3, 2.58, 2.544782608695652)","(101.0, 770.0, 566.6666666666667)","(19.0, 32.0, 29.545454545454547)","(41.0, 50.0, 49.529411764705884)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 106.36363636363636)","(61.0, 260.0, 149.0)","(4.8, 7.0, 6.92)","(31.0, 130.0, 97.5)"
14-12-2022 13:45:21.031247,"(2.3, 2.58, 2.544782608695652)","(101.0, 740.0, 536.6666666666667)","(19.0, 32.0, 29.545454545454547)","(41.0, 50.0, 53.94117647058823)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 103.33333333333334)","(61.0, 260.0, 149.0)","(4.8, 7.0, 6.92)","(31.0, 110.0, 97.5)"
14-12-2022 13:45:22.436831,"(2.3, 2.58, 2.544782608695652)","(101.0, 720.0, 536.6666666666667)","(19.0, 32.0, 29.545454545454547)","(41.0, 55.0, 53.94117647058823)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 104.16666666666666)","(61.0, 260.0, 162.5)","(4.8, 7.0, 6.92)","(31.0, 110.0, 97.5)"
14-12-2022 13:45:24.072159,"(2.3, 2.58, 2.544782608695652)","(101.0, 680.0, 510.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 55.0, 53.241379310344826)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 106.11111111111111)","(61.0, 250.0, 141.0)","(4.8, 7.0, 6.852173913043479)","(31.0, 110.0, 97.5)"
14-12-2022 13:45:25.812996,"(2.3, 2.58, 2.5504109589041097)","(101.0, 650.0, 438.57142857142856)","(19.0, 32.0, 29.545454545454547)","(41.0, 60.0, 53.94117647058823)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 107.5)","(61.0, 240.0, 141.0)","(4.8, 7.2, 6.96)","(31.0, 110.0, 100.9090909090909)"
14-12-2022 13:45:27.388787,"(2.3, 2.58, 2.515606936416185)","(101.0, 640.0, 438.57142857142856)","(19.0, 32.0, 29.545454545454547)","(41.0, 55.0, 52.75)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 107.8125)","(61.0, 240.0, 141.0)","(4.8, 7.2, 6.981818181818182)","(31.0, 110.0, 100.9090909090909)"
14-12-2022 13:45:28.656800,"(2.3, 2.56, 2.515606936416185)","(101.0, 640.0, 438.57142857142856)","(19.0, 32.0, 29.545454545454547)","(41.0, 55.0, 49.0)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 107.8125)","(61.0, 240.0, 141.0)","(4.8, 7.2, 6.9)","(31.0, 110.0, 100.9090909090909)"
14-12-2022 13:45:30.161473,"(2.3, 2.56, 2.515606936416185)","(101.0, 630.0, 427.14285714285717)","(19.0, 32.0, 29.545454545454547)","(41.0, 50.0, 49.0)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 107.8125)","(61.0, 240.0, 141.0)","(4.8, 7.0, 6.9)","(31.0, 110.0, 100.9090909090909)"
14-12-2022 13:45:31.632174,"(2.3, 2.56, 2.515606936416185)","(101.0, 620.0, 427.14285714285717)","(19.0, 32.0, 29.545454545454547)","(41.0, 50.0, 49.0)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.157894736842106)","(51.0, 110.0, 107.8125)","(61.0, 240.0, 141.0)","(4.8, 7.0, 6.9)","(31.0, 110.0, 100.9090909090909)"
14-12-2022 13:45:32.964007,"(2.3, 2.56, 2.515606936416185)","(101.0, 620.0, 427.14285714285717)","(19.0, 32.0, 29.545454545454547)","(41.0, 50.0, 50.2)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.0, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:34.257145,"(2.3, 2.56, 2.5125925925925925)","(101.0, 620.0, 427.14285714285717)","(19.0, 32.0, 29.545454545454547)","(41.0, 60.0, 56.666666666666664)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.2, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:35.654479,"(2.3, 2.56, 2.5125925925925925)","(101.0, 620.0, 427.14285714285717)","(19.0, 32.0, 29.545454545454547)","(41.0, 60.0, 54.22222222222222)","(2.7, 3.35, 3.3415254237288137)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.2, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:36.968083,"(2.3, 2.56, 2.5125925925925925)","(101.0, 610.0, 410.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 55.0, 54.166666666666664)","(2.7, 3.35, 3.3268292682926828)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.2, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:38.263872,"(2.3, 2.56, 2.5125925925925925)","(101.0, 590.0, 410.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 55.0, 56.1764705882353)","(2.7, 3.4, 3.32156862745098)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.2, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:39.537849,"(2.3, 2.56, 2.505)","(101.0, 580.0, 498.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.320754716981132)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.2, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:40.828095,"(2.3, 2.56, 2.52301724137931)","(101.0, 570.0, 436.6666666666667)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.320754716981132)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 156.66666666666669)","(4.8, 7.2, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:42.070770,"(2.3, 2.56, 2.52301724137931)","(101.0, 560.0, 430.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.320754716981132)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 290.0, 150.0)","(4.8, 7.2, 6.96)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:43.315250,"(2.3, 2.56, 2.5375392670157066)","(101.0, 560.0, 430.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.3268292682926828)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 270.0, 146.66666666666666)","(4.8, 7.2, 6.9906976744186045)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:44.515839,"(2.3, 2.56, 2.539073569482289)","(101.0, 560.0, 430.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.3268292682926828)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 260.0, 130.0)","(4.8, 7.2, 6.9)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:45.755770,"(2.3, 2.56, 2.539073569482289)","(101.0, 560.0, 392.8571428571429)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.3268292682926828)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 250.0, 140.0)","(4.8, 7.2, 6.84)","(31.0, 110.0, 102.85714285714286)"
14-12-2022 13:45:47.249901,"(2.3, 2.56, 2.539073569482289)","(101.0, 560.0, 326.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.3268292682926828)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 125.0)","(4.8, 7.2, 6.779999999999999)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:48.713658,"(2.3, 2.56, 2.539073569482289)","(101.0, 560.0, 326.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.314285714285714)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 230.0, 155.0)","(4.8, 7.2, 6.811764705882353)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:50.050094,"(2.3, 2.56, 2.539073569482289)","(101.0, 560.0, 326.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.314285714285714)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 220.0, 170.0)","(4.8, 7.2, 6.811764705882353)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:51.711536,"(2.3, 2.56, 2.546960950764007)","(101.0, 560.0, 365.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 56.1764705882353)","(2.7, 3.4, 3.314285714285714)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 250.0, 127.5)","(4.8, 7.2, 6.927272727272727)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:53.181393,"(2.3, 2.56, 2.5456435643564355)","(101.0, 560.0, 365.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 57.96875)","(2.7, 3.4, 3.393478260869565)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.2, 6.8)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:54.578881,"(2.3, 2.56, 2.5456435643564355)","(101.0, 560.0, 365.0)","(19.0, 32.0, 29.545454545454547)","(41.0, 65.0, 57.96875)","(2.7, 3.4, 3.393478260869565)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.0, 6.85)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:55.962047,"(2.3, 2.56, 2.548104347826087)","(101.0, 560.0, 413.75)","(19.0, 32.0, 30.09090909090909)","(41.0, 65.0, 57.96875)","(2.7, 3.4, 3.393478260869565)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.0, 6.85)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:57.173517,"(2.3, 2.56, 2.548104347826087)","(101.0, 560.0, 413.75)","(19.0, 32.0, 30.09090909090909)","(41.0, 65.0, 57.96875)","(2.7, 3.4, 3.393478260869565)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.0, 6.85)","(31.0, 110.0, 87.5)"
14-12-2022 13:45:58.501652,"(2.3, 2.56, 2.548104347826087)","(101.0, 560.0, 413.75)","(19.0, 32.0, 30.09090909090909)","(41.0, 65.0, 57.96875)","(2.7, 3.4, 3.393478260869565)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 108.15789473684211)","(61.0, 240.0, 127.5)","(4.8, 7.0, 6.85)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:00.228569,"(2.3, 2.56, 2.5485263157894735)","(101.0, 560.0, 436.6666666666667)","(19.0, 32.0, 30.09090909090909)","(41.0, 65.0, 57.96875)","(2.7, 3.4, 3.3916666666666666)","(14.0, 18.5, 17.136363636363637)","(51.0, 110.0, 124.5)","(61.0, 220.0, 120.0)","(4.8, 7.0, 6.643243243243243)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:01.599291,"(2.3, 2.56, 2.536216216216216)","(101.0, 620.0, 445.0)","(19.0, 32.0, 30.09090909090909)","(41.0, 65.0, 57.96875)","(2.7, 3.4, 3.3916666666666666)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.643243243243243)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:03.080564,"(2.3, 2.56, 2.536216216216216)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 58.75)","(2.7, 3.4, 3.3916666666666666)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.643243243243243)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:04.395980,"(2.3, 2.56, 2.536216216216216)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 58.75)","(2.7, 3.4, 3.3916666666666666)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.643243243243243)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:05.722158,"(2.3, 2.56, 2.536216216216216)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 58.75)","(2.7, 3.4, 3.3916666666666666)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:06.945403,"(2.3, 2.56, 2.552485768500949)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 58.75)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:08.191407,"(2.3, 2.56, 2.552485768500949)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 58.75)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:09.460258,"(2.3, 2.56, 2.552485768500949)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 58.75)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:10.722280,"(2.3, 2.56, 2.552485768500949)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:12.202299,"(2.3, 2.56, 2.552485768500949)","(101.0, 610.0, 445.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:13.717742,"(2.3, 2.56, 2.552485768500949)","(101.0, 590.0, 470.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 120.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:15.149894,"(2.3, 2.56, 2.551868583162218)","(101.0, 570.0, 370.0)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 124.5)","(61.0, 210.0, 150.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:16.368705,"(2.3, 2.56, 2.551868583162218)","(101.0, 560.0, 448.57142857142856)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 270.0, 186.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:17.666332,"(2.3, 2.56, 2.551868583162218)","(101.0, 570.0, 455.7142857142857)","(19.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 250.0, 180.0)","(4.8, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:18.997330,"(2.3, 2.56, 2.551868583162218)","(101.0, 570.0, 448.57142857142856)","(20.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 240.0, 160.0)","(5.0, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:20.462812,"(2.3, 2.56, 2.551868583162218)","(101.0, 560.0, 407.5)","(20.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.390625)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 230.0, 160.0)","(5.0, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:21.907064,"(2.3, 2.56, 2.551868583162218)","(101.0, 550.0, 407.5)","(20.0, 32.0, 29.235294117647058)","(41.0, 65.0, 63.125)","(2.7, 3.4, 3.3745762711864407)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 230.0, 170.0)","(5.0, 7.0, 6.861538461538462)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:23.218266,"(2.3, 2.56, 2.5515744680851062)","(101.0, 550.0, 407.5)","(20.0, 32.0, 29.235294117647058)","(41.0, 65.0, 60.0)","(2.7, 3.4, 3.378260869565217)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 250.0, 170.0)","(5.0, 7.0, 6.666666666666667)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:24.533111,"(2.3, 2.56, 2.552032193158954)","(101.0, 550.0, 407.5)","(20.0, 32.0, 29.235294117647058)","(41.0, 65.0, 60.0)","(2.7, 3.4, 3.378260869565217)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 250.0, 170.0)","(5.0, 6.8, 6.666666666666667)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:25.815755,"(2.3, 2.56, 2.552032193158954)","(101.0, 550.0, 407.5)","(20.0, 32.0, 29.235294117647058)","(41.0, 65.0, 61.666666666666664)","(2.7, 3.4, 3.3373949579831934)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 250.0, 180.0)","(5.0, 6.8, 6.666666666666667)","(31.0, 110.0, 87.5)"
14-12-2022 13:46:27.487393,"(2.3, 2.56, 2.552032193158954)","(101.0, 530.0, 420.0)","(20.0, 32.0, 29.235294117647058)","(41.0, 65.0, 61.666666666666664)","(2.7, 3.35, 3.3373949579831934)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 240.0, 180.0)","(5.0, 6.8, 6.5777777777777775)","(31.0, 110.0, 96.66666666666667)"
14-12-2022 13:46:28.938420,"(2.3, 2.56, 2.550891089108911)","(101.0, 520.0, 420.0)","(20.0, 32.0, 29.52173913043478)","(41.0, 65.0, 61.666666666666664)","(2.7, 3.35, 3.3373949579831934)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 240.0, 191.8181818181818)","(5.0, 6.8, 6.663636363636364)","(31.0, 110.0, 96.66666666666667)"
14-12-2022 13:46:30.241172,"(2.3, 2.56, 2.550891089108911)","(101.0, 520.0, 420.0)","(20.0, 32.0, 29.52173913043478)","(41.0, 65.0, 61.666666666666664)","(2.7, 3.35, 3.3373949579831934)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 230.0, 197.6923076923077)","(5.0, 6.8, 6.663636363636364)","(31.0, 110.0, 96.66666666666667)"
14-12-2022 13:46:31.478342,"(2.3, 2.56, 2.550891089108911)","(101.0, 520.0, 420.0)","(20.0, 32.0, 29.52173913043478)","(41.0, 65.0, 61.666666666666664)","(2.8, 3.35, 3.3373949579831934)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 230.0, 201.42857142857144)","(5.0, 6.8, 6.663636363636364)","(31.0, 110.0, 100.0)"
14-12-2022 13:46:32.928597,"(2.3, 2.56, 2.550891089108911)","(101.0, 520.0, 420.0)","(20.0, 32.0, 29.52173913043478)","(41.0, 65.0, 61.666666666666664)","(2.8, 3.35, 3.3373949579831934)","(14.0, 18.5, 17.136363636363637)","(51.0, 130.0, 123.125)","(61.0, 220.0, 198.33333333333334)","(5.0, 6.8, 6.663636363636364)","(31.0, 110.0, 100.0)"
14-12-2022 13:46:34.454562,"(2.3, 2.56, 2.550891089108911)","(101.0, 590.0, 426.25)","(20.0, 32.0, 29.52173913043478)","(41.0, 65.0, 61.666666666666664)","(2.8, 3.35, 3.3911242603550296)","(14.0, 18.5, 16.82)","(51.0, 130.0, 123.125)","(61.0, 220.0, 182.3076923076923)","(5.0, 6.8, 6.593103448275862)","(31.0, 110.0, 100.0)"
