,Mr Wallace,The Heavyweight,Skylon,Our Kinsmen,Wild Irish Rover,Promise The Moon,Ultron,Loniesha,Nullify,Raging Climax
14-12-2022 13:41:35.539070,"(2.3, 2.68, 2.6423076923076922)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.620689655172413)","(41.0, 55.0, 44.888888888888886)","(2.7, 3.3, 3.2531250000000003)","(14.0, 21.0, 20.21875)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 105.0)","(4.8, 7.4, 7.32)","(31.0, 140.0, 124.0)"
14-12-2022 13:41:37.059945,"(2.3, 2.68, 2.6423076923076922)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 55.0, 44.888888888888886)","(2.7, 3.45, 3.2531250000000003)","(14.0, 21.0, 20.21875)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 116.66666666666666)","(4.8, 7.4, 7.32)","(31.0, 140.0, 100.0)"
14-12-2022 13:41:38.575547,"(2.3, 2.68, 2.6423076923076922)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.620689655172413)","(41.0, 55.0, 44.888888888888886)","(2.7, 3.45, 3.216666666666667)","(14.0, 21.0, 20.21875)","(51.0, 70.0, 68.84615384615384)","(61.0, 230.0, 113.33333333333334)","(4.8, 7.4, 7.32)","(31.0, 140.0, 100.0)"
14-12-2022 13:41:40.116001,"(2.3, 2.68, 2.6423076923076922)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.620689655172413)","(41.0, 55.0, 44.888888888888886)","(2.7, 3.3, 3.216666666666667)","(14.0, 21.0, 20.21875)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 113.33333333333334)","(4.8, 7.4, 7.32)","(31.0, 140.0, 123.63636363636364)"
14-12-2022 13:41:41.626664,"(2.3, 2.68, 2.6423076923076922)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.620689655172413)","(41.0, 55.0, 47.333333333333336)","(2.7, 3.3, 3.216666666666667)","(14.0, 21.0, 20.21875)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 113.33333333333334)","(4.8, 7.4, 7.32)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:43.263901,"(2.3, 2.68, 2.6423076923076922)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.620689655172413)","(41.0, 50.0, 47.333333333333336)","(2.7, 3.3, 3.216666666666667)","(14.0, 21.0, 20.21875)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 113.33333333333334)","(4.8, 7.4, 7.32)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:44.823348,"(2.3, 2.68, 2.6423076923076922)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.620689655172413)","(41.0, 50.0, 47.333333333333336)","(2.7, 3.3, 3.216666666666667)","(14.0, 21.0, 20.21875)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 100.0)","(4.8, 7.4, 7.32)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:46.521151,"(2.3, 2.72, 2.63)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.620689655172413)","(41.0, 50.0, 47.333333333333336)","(2.7, 3.3, 3.216666666666667)","(14.0, 21.0, 20.43181818181818)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 150.0)","(4.8, 7.4, 7.32)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:48.186336,"(2.3, 2.72, 2.645)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.620689655172413)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.31)","(14.0, 21.0, 20.43181818181818)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 150.0)","(4.8, 7.4, 7.32)","(31.0, 140.0, 128.0)"
14-12-2022 13:41:49.811411,"(2.3, 2.72, 2.645)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.4, 3.2624999999999997)","(14.0, 21.0, 20.43181818181818)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 150.0)","(4.8, 7.4, 7.32)","(31.0, 140.0, 128.0)"
