,Chilli Cherry,Levis Beach,Jet Keen,Murrurundi Boy,Nitro Jax,Irinka Isla,Two Suns
08-12-2022 14:48:49.586787,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.98, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 19.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:48:51.044322,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:48:52.487348,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:48:53.995472,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:48:55.355545,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:48:56.754617,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:48:58.034205,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:48:59.358980,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:00.581615,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:01.847509,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:03.082456,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:04.316247,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:05.568491,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:06.758372,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:07.968984,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:09.156455,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
08-12-2022 14:49:10.387728,"(6.0, 10.5, 9.027272727272727)","(15.0, 46.0, 40.375)","(1.4, 1.84, 1.4673333333333334)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.76862745098039)","(26.0, 110.0, 68.5)","(10.0, 25.0, 23.450980392156865)"
