,Nimble Fantasy,Brian Basilisa,Van Diemen,Tamarind Twist,Deep Purple,Douglas Dash,Moraine Charli
07-01-2023 17:06:41.011626,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.36, 2.21)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:42.167615,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:43.163521,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:44.163604,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:45.161447,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:46.421966,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:47.684859,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:48.815635,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:49.806497,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
07-01-2023 17:06:51.125869,"(10.0, 21.0, 15.2)","(21.0, 240.0, 85.71428571428572)","(10.0, 24.0, 16.036363636363635)","(21.0, 70.0, 41.388888888888886)","(2.8, 4.4, 2.8129032258064512)","(1.65, 2.34, 1.7925)","(31.0, 130.0, 65.0)"
