,Kobe Rocks,Hollywood North,Reformist,Optimo,Nickelback,Conference
11-01-2023 14:13:11.162418,"(4.4, 5.1, 5.076363636363636)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 290.0, 281.1111111111111)"
11-01-2023 14:13:12.332021,"(4.4, 5.1, 5.076363636363636)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 290.0, 281.1111111111111)"
11-01-2023 14:13:13.371138,"(4.4, 5.1, 5.076363636363636)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 290.0, 281.1111111111111)"
11-01-2023 14:13:14.544205,"(4.4, 5.1, 5.076363636363636)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 290.0, 245.9090909090909)"
11-01-2023 14:13:15.673094,"(4.4, 5.1, 5.076363636363636)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 280.0, 238.1818181818182)"
11-01-2023 14:13:16.639225,"(4.4, 5.1, 5.076363636363636)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 270.0, 252.77777777777777)"
11-01-2023 14:13:17.597025,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:18.572329,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:19.554156,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.85)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:20.722564,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:21.841267,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:22.710080,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:23.683146,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:24.630632,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:25.604946,"(4.4, 5.1, 5.0807692307692305)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:26.486403,"(4.4, 5.1, 5.072413793103448)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:27.467899,"(4.4, 5.1, 5.072413793103448)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:28.457343,"(4.4, 5.1, 5.072413793103448)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.964)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:29.380001,"(4.4, 5.1, 5.072413793103448)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.9727272727272727)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:30.252007,"(4.4, 5.1, 5.072413793103448)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.9727272727272727)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:31.195233,"(4.4, 5.1, 5.072413793103448)","(5.0, 6.0, 5.817391304347826)","(5.0, 6.2, 6.08)","(4.4, 5.4, 5.206666666666667)","(3.0, 4.0, 3.9727272727272727)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:32.038933,"(4.4, 5.1, 5.072413793103448)","(5.0, 6.0, 5.842105263157895)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.4, 5.233333333333333)","(3.0, 4.0, 3.933333333333333)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:32.936736,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.842105263157895)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.4, 5.266666666666667)","(3.0, 4.0, 3.925)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:33.919337,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.842105263157895)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.4, 5.221052631578948)","(3.0, 4.0, 3.971875)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:35.048012,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.85)","(5.0, 6.4, 6.220000000000001)","(4.4, 5.6, 5.221052631578948)","(3.0, 4.0, 3.980327868852459)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:35.981874,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.85)","(5.0, 6.4, 6.220000000000001)","(4.4, 5.6, 5.221052631578948)","(3.0, 4.0, 3.980327868852459)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:36.894441,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.842105263157895)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.4, 5.266666666666667)","(3.0, 4.0, 3.933333333333333)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:38.032692,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.842105263157895)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.4, 5.266666666666667)","(3.0, 4.0, 3.933333333333333)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:39.028532,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.842105263157895)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.4, 5.266666666666667)","(3.0, 4.0, 3.925)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:39.930119,"(4.4, 5.1, 5.0688524590163935)","(5.0, 6.0, 5.842105263157895)","(5.0, 6.2, 6.165217391304348)","(4.4, 5.4, 5.266666666666667)","(3.0, 4.0, 3.925)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:40.821635,"(4.4, 5.1, 5.068333333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:41.777722,"(4.4, 5.1, 5.068333333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:42.741812,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:43.622071,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:44.502592,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:45.400812,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:46.279090,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:47.126174,"(4.4, 5.1, 5.080208333333333)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:47.969881,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:48.901098,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
11-01-2023 14:13:49.791387,"(4.4, 5.1, 5.0827956989247305)","(5.0, 6.0, 5.841666666666667)","(5.0, 6.2, 6.181818181818182)","(4.4, 5.4, 5.372727272727273)","(3.0, 4.0, 3.911111111111111)","(101.0, 260.0, 252.77777777777777)"
