,Selynya Obi,Elenor Bale,Guster Bale,Daksha Bale,Smiling Olive,Arctic Bear,Myola Sunrise
07-01-2023 20:04:50.854530,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 27.0, 25.8)"
07-01-2023 20:04:52.100417,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 25.8)"
07-01-2023 20:04:53.285900,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 25.8)"
07-01-2023 20:04:54.357770,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 25.8)"
07-01-2023 20:04:55.569514,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 25.8)"
07-01-2023 20:04:56.670187,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 25.8)"
07-01-2023 20:04:57.810357,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 25.8)"
07-01-2023 20:04:59.040465,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.88888888888889)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 25.8)"
07-01-2023 20:05:00.245971,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.6875)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 24.85)"
07-01-2023 20:05:01.253186,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.6875)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 24.85)"
07-01-2023 20:05:02.436033,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.6875)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 24.85)"
07-01-2023 20:05:03.591508,"(1.55, 1.93, 1.6091666666666666)","(7.5, 17.5, 8.318181818181818)","(21.0, 80.0, 37.09090909090909)","(8.0, 19.0, 13.6875)","(5.5, 12.5, 7.653846153846153)","(16.0, 46.0, 24.65)","(7.5, 30.0, 24.85)"
