,Homebush Saint,Tiggerlong Demon,Lonely Toni,Goldstar Yogi,Homebush Shady,Denarau Delight,Goldstar Dynasty,Homebush Lennon
06-01-2023 09:53:49.868802,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:50.925385,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:51.883523,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:52.862794,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:53.871442,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:54.874863,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:55.852698,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:56.830173,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:57.805875,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:58.811727,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:53:59.820689,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:54:00.854275,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
06-01-2023 09:54:01.860810,"(7.0, 27.0, 17.0)","(3.9, 10.5, 7.566666666666666)","(4.8, 13.0, 6.925925925925926)","(9.0, 36.0, 15.75)","(14.0, 70.0, 51.0)","(6.5, 23.0, 15.954838709677421)","(3.3, 8.0, 5.913043478260869)","(14.0, 70.0, 51.0)"
