,Frank Light Year,Whiskey Bob,Redshift Tango,Whacker Wilson,On The Mint,Perseus,Not Afraid,My Maddy
15-12-2022 10:48:34.581757,"(6.5, 12.0, 10.663636363636364)","(6.5, 8.2, 7.449999999999999)","(2.9, 4.6, 4.257894736842105)","(5.5, 7.4, 6.60188679245283)","(11.0, 20.0, 15.5)","(7.0, 9.4, 9.744444444444445)","(20.0, 100.0, 41.14285714285714)","(5.0, 6.4, 5.75)"
15-12-2022 10:48:35.661095,"(6.5, 11.5, 10.809090909090909)","(6.5, 7.6, 7.449999999999999)","(2.9, 4.6, 4.257894736842105)","(5.5, 6.8, 6.60188679245283)","(11.0, 17.0, 15.5)","(7.0, 10.5, 9.8625)","(20.0, 46.0, 41.14285714285714)","(5.0, 6.4, 5.95)"
15-12-2022 10:48:36.710452,"(6.5, 11.5, 10.809090909090909)","(6.5, 7.6, 7.449999999999999)","(2.9, 4.6, 4.257894736842105)","(5.5, 6.6, 6.283783783783783)","(11.0, 17.0, 15.5)","(7.0, 10.5, 9.8625)","(20.0, 46.0, 41.14285714285714)","(5.0, 6.4, 5.95)"
15-12-2022 10:48:37.745172,"(6.5, 11.5, 10.809090909090909)","(6.5, 7.6, 7.449999999999999)","(2.9, 4.6, 4.257894736842105)","(5.5, 6.6, 6.283783783783783)","(11.0, 17.0, 15.5)","(7.0, 10.5, 9.65)","(20.0, 46.0, 69.5)","(5.0, 6.4, 5.95)"
15-12-2022 10:48:38.782013,"(6.5, 14.5, 13.8875)","(6.5, 7.8, 7.564705882352941)","(2.9, 4.5, 3.94)","(5.5, 6.6, 6.283783783783783)","(11.0, 22.0, 20.5)","(7.0, 10.5, 9.927272727272728)","(20.0, 110.0, 69.5)","(5.0, 6.4, 5.533333333333333)"
15-12-2022 10:48:39.848188,"(6.5, 15.0, 11.49)","(6.5, 7.8, 7.4)","(2.9, 4.4, 4.175)","(5.5, 6.6, 6.283783783783783)","(11.0, 22.0, 20.5)","(7.0, 10.5, 9.927272727272728)","(20.0, 110.0, 43.16666666666667)","(5.0, 5.8, 5.4)"
15-12-2022 10:48:40.989950,"(6.5, 15.0, 11.809090909090909)","(6.5, 8.2, 7.49090909090909)","(2.9, 4.4, 4.072727272727272)","(5.5, 6.6, 5.544444444444444)","(11.0, 22.0, 20.5)","(7.0, 10.5, 10.011111111111111)","(20.0, 46.0, 43.16666666666667)","(5.0, 5.8, 5.3076923076923075)"
15-12-2022 10:48:42.072700,"(6.5, 15.0, 11.809090909090909)","(6.5, 8.0, 7.642857142857142)","(3.1, 4.4, 4.072727272727272)","(5.5, 6.4, 5.544444444444444)","(11.0, 22.0, 20.5)","(7.0, 10.5, 10.011111111111111)","(20.0, 46.0, 43.16666666666667)","(5.0, 5.8, 5.96)"
15-12-2022 10:48:43.158839,"(6.5, 15.0, 11.809090909090909)","(6.5, 7.8, 7.514285714285714)","(3.1, 4.4, 3.95)","(5.5, 6.2, 5.6000000000000005)","(11.0, 22.0, 20.5)","(7.0, 10.5, 10.011111111111111)","(20.0, 46.0, 43.16666666666667)","(5.0, 6.6, 6.064285714285714)"
15-12-2022 10:48:44.248426,"(6.5, 15.0, 12.4)","(6.5, 7.8, 7.4)","(3.1, 4.4, 3.95)","(5.5, 6.2, 5.381818181818182)","(11.0, 22.0, 21.25)","(7.0, 10.5, 10.011111111111111)","(20.0, 46.0, 42.0)","(5.0, 6.6, 6.064285714285714)"
15-12-2022 10:48:45.347162,"(6.5, 15.0, 12.4)","(6.5, 7.8, 7.4)","(3.1, 4.4, 3.8857142857142857)","(5.5, 6.2, 5.381818181818182)","(11.0, 22.0, 21.25)","(7.0, 10.5, 10.011111111111111)","(20.0, 46.0, 50.0)","(5.0, 6.6, 6.064285714285714)"
15-12-2022 10:48:46.381169,"(6.5, 15.0, 12.4)","(6.5, 7.8, 7.3130434782608695)","(3.1, 4.4, 3.8857142857142857)","(5.5, 6.2, 5.381818181818182)","(11.0, 22.0, 21.25)","(7.0, 10.5, 10.011111111111111)","(20.0, 110.0, 83.0)","(5.0, 6.6, 5.9)"
15-12-2022 10:48:47.539724,"(6.5, 15.0, 12.4)","(6.5, 7.8, 7.378947368421053)","(3.2, 4.3, 3.855555555555555)","(5.5, 6.2, 5.325)","(11.0, 22.0, 21.25)","(6.5, 10.5, 10.011111111111111)","(20.0, 110.0, 83.0)","(5.0, 6.6, 5.516666666666667)"
