,Lady Vuitton,Lievore,My Girl Zarlie,Radstar,Shout Out Girl,Sweet Bella,Vartolomei,Freedom,Misspoke,Scapini,Tennessee Maggie,Winning Bid
12-01-2023 17:15:13.287304,"(11.0, 13.5, 13.316239316239317)","(7.0, 8.6, 8.515827338129496)","(101.0, 300.0, 294.0)","(21.0, 28.0, 27.736842105263158)","(21.0, 28.0, 28.25531914893617)","(16.0, 22.0, 21.6)","(7.5, 9.4, 9.176216216216215)","(8.5, 11.0, 10.634842519685039)","(13.0, 14.0, 13.608796296296296)","(3.9, 4.7, 4.646383928571429)","(18.0, 23.0, 22.7239263803681)","(6.0, 7.0, 6.816120906801007)"
12-01-2023 17:15:14.639546,"(11.0, 13.5, 13.316239316239317)","(7.0, 8.6, 8.515827338129496)","(101.0, 300.0, 294.0)","(21.0, 28.0, 27.723684210526315)","(21.0, 29.0, 28.508474576271187)","(16.0, 22.0, 21.615384615384617)","(7.5, 9.2, 9.175555555555555)","(8.5, 11.0, 10.623732251521298)","(13.0, 14.0, 13.608796296296296)","(3.9, 4.7, 4.652150537634409)","(18.0, 23.0, 22.71518987341772)","(6.0, 7.0, 6.812820512820513)"
12-01-2023 17:15:16.104297,"(11.0, 13.5, 13.33941605839416)","(7.0, 8.6, 8.515827338129496)","(101.0, 300.0, 294.0)","(21.0, 28.0, 27.632183908045977)","(21.0, 29.0, 28.508474576271187)","(16.0, 22.0, 21.615384615384617)","(7.5, 9.2, 9.17422680412371)","(8.5, 11.0, 10.618312757201647)","(13.0, 14.0, 13.60981308411215)","(3.9, 4.7, 4.65167818361303)","(18.0, 23.0, 22.71518987341772)","(6.0, 7.0, 6.811794871794872)"
12-01-2023 17:15:17.516449,"(11.0, 13.5, 13.33695652173913)","(7.0, 8.6, 8.526875)","(101.0, 300.0, 291.6666666666667)","(21.0, 28.0, 27.6734693877551)","(21.0, 29.0, 28.549295774647888)","(16.0, 22.0, 21.615384615384617)","(7.5, 9.2, 9.17696335078534)","(8.5, 11.0, 10.422368421052632)","(13.0, 14.0, 13.667553191489361)","(3.9, 4.7, 4.651986097318768)","(18.0, 23.0, 22.71518987341772)","(6.0, 7.0, 6.831264367816091)"
12-01-2023 17:15:18.895936,"(11.0, 13.5, 13.33695652173913)","(7.0, 8.6, 8.558282208588956)","(101.0, 300.0, 296.0)","(21.0, 28.0, 27.766355140186917)","(21.0, 29.0, 28.890625)","(16.0, 22.0, 21.67241379310345)","(7.5, 9.2, 9.181512605042016)","(8.5, 10.5, 10.453703703703704)","(13.0, 14.0, 14.110759493670885)","(3.9, 4.7, 4.6551692165044045)","(18.0, 23.0, 22.801169590643276)","(6.0, 7.0, 6.732033426183844)"
12-01-2023 17:15:20.308583,"(11.0, 13.5, 13.374251497005988)","(7.0, 8.6, 8.54413407821229)","(101.0, 300.0, 296.0)","(21.0, 28.0, 28.146853146853147)","(21.0, 29.0, 29.065420560747665)","(16.0, 22.0, 21.67241379310345)","(7.5, 9.2, 9.181512605042016)","(8.5, 10.5, 10.457718120805369)","(13.0, 14.5, 14.11437908496732)","(3.9, 4.7, 4.654855275443511)","(18.0, 23.0, 22.942307692307693)","(6.0, 6.8, 6.7414772727272725)"
12-01-2023 17:15:21.658455,"(11.0, 13.5, 13.353260869565217)","(7.0, 8.6, 8.544598337950138)","(101.0, 300.0, 296.0)","(21.0, 29.0, 28.123287671232877)","(21.0, 30.0, 28.794117647058822)","(16.0, 22.0, 21.62987012987013)","(7.5, 9.2, 9.18086956521739)","(8.5, 10.5, 10.428380187416332)","(13.0, 14.5, 14.128930817610064)","(3.9, 4.7, 4.653930443068128)","(18.0, 23.0, 23.38235294117647)","(6.0, 6.8, 6.739941690962099)"
12-01-2023 17:15:23.090829,"(11.0, 13.5, 13.349162011173185)","(7.0, 8.6, 8.506103286384976)","(101.0, 300.0, 296.0)","(21.0, 29.0, 28.03030303030303)","(21.0, 29.0, 28.9)","(16.0, 22.0, 21.62987012987013)","(7.5, 9.2, 9.180444444444444)","(8.5, 10.5, 10.343548387096774)","(13.0, 14.5, 14.036496350364963)","(3.9, 4.7, 4.653930443068128)","(18.0, 24.0, 23.38235294117647)","(6.0, 6.8, 6.702487562189054)"
12-01-2023 17:15:24.520280,"(11.0, 13.5, 13.349162011173185)","(7.0, 8.6, 8.522178988326848)","(101.0, 300.0, 294.54545454545456)","(21.0, 29.0, 28.18840579710145)","(21.0, 29.0, 28.9)","(16.0, 22.0, 21.62987012987013)","(7.5, 9.2, 9.18018018018018)","(8.5, 10.5, 10.341252699784018)","(13.0, 14.5, 14.158959537572255)","(3.9, 4.7, 4.653930443068128)","(18.0, 24.0, 23.38235294117647)","(6.0, 6.8, 6.689145496535796)"
12-01-2023 17:15:25.889054,"(11.0, 13.5, 13.349162011173185)","(7.0, 8.6, 8.522178988326848)","(101.0, 300.0, 275.0)","(21.0, 29.0, 28.283783783783782)","(21.0, 29.0, 28.91176470588235)","(16.0, 22.0, 21.652439024390244)","(7.5, 9.2, 9.182879377431906)","(8.5, 10.5, 10.343949044585987)","(13.0, 14.5, 14.056390977443609)","(3.9, 4.7, 4.653864503816794)","(18.0, 24.0, 23.511627906976745)","(6.0, 6.8, 6.698947368421052)"
