,Gungho,Raphael,Roys Legacy,Cyclone Harmony,Vankukla,Wallawallabingbang,A Dandy Catch,So Greysful,Star Harmony
08-01-2023 12:19:27.204193,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:28.386540,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:29.475487,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:30.670925,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:31.828019,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.484375)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:33.007538,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 5.0, 4.339622641509433)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.7, 5.25)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:34.148243,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 4.9, 4.557142857142857)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.25)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:35.278000,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 17.22222222222222)","(10.0, 16.0, 14.333333333333332)","(3.4, 4.9, 4.557142857142857)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.25)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:36.405851,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 4.9, 4.557142857142857)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.25)","(4.8, 7.2, 6.7)"
08-01-2023 12:19:37.531093,"(81.0, 220.0, 153.33333333333334)","(12.0, 17.5, 16.5)","(10.0, 16.0, 14.333333333333332)","(3.4, 4.9, 4.557142857142857)","(3.5, 4.5, 4.269230769230769)","(18.0, 27.0, 24.0)","(81.0, 180.0, 137.5)","(4.2, 5.6, 5.25)","(4.8, 7.2, 6.7)"
