,Aussie Sebastian,Go Forward Herby,Sour Cider Wilma,Just Like Aria,Sekekama
09-01-2023 16:53:02.366669,"(2.1, 2.98, 2.7866666666666666)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:03.205397,"(2.1, 2.98, 2.7866666666666666)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:04.022289,"(2.1, 2.98, 2.7866666666666666)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:04.924038,"(2.1, 2.98, 2.7866666666666666)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:05.818500,"(2.1, 2.98, 2.7866666666666666)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:06.727446,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:07.511425,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:08.299440,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:09.151274,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:10.002517,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:10.851743,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:11.678754,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:12.598277,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:13.488611,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
