,Buck Pharoah,Salad Dodger,Auzstar,Miss Arizona,Korubela Miss,Tobasco,Outreach To Henry,Flash Palace,The Sistine Tales,Rainbow Rocket
0,"[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 32, 454633), 61.0, 230.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 33, 623322), 61.0, 230.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 34, 790730), 61.0, 230.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 35, 974689), 61.0, 230.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 37, 158243), 61.0, 230.0]"
5,"[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 38, 321017), 61.0, 230.0]"
6,"[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 39, 495658), 61.0, 230.0]"
7,"[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 40, 755745), 61.0, 230.0]"
8,"[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 993507), 61.0, 230.0]"
9,"[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 3.2, 3.75]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 9.0, 12.5]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 2.45, 3.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 7.5, 10.5]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 7.5, 14.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 18.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 187800), 61.0, 230.0]"
