,Kaypat World,Rocking The Ares,Calypso Ruby,Drink Jacks,Dayseas Gem,Our Mate Rocco,Cuckoo Coconuts,Border Issues
0,"[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 10, 942804), 4.6, 7.6]"
1,"[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 12, 75734), 4.6, 7.6]"
2,"[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 230647), 4.6, 7.6]"
3,"[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 361068), 4.6, 7.6]"
4,"[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 488461), 4.6, 7.6]"
5,"[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 626292), 4.6, 7.6]"
6,"[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 755132), 4.6, 7.6]"
7,"[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 910450), 4.6, 7.6]"
8,"[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 42802), 4.6, 7.6]"
9,"[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 184301), 4.6, 7.6]"
10,"[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 341791), 4.6, 7.6]"
11,"[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 480403), 4.6, 7.6]"
12,"[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 9.0, 18.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 19.0, 48.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 7.0, 7.4]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 3.6, 4.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 3.1, 5.4]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 639226), 4.6, 7.6]"
