,Sugar Time,Diamond Harmony,Homebush Harper,Young Romeo,Simon The Pieman,Alhambra,Rosehip,Verdun Bale
08-12-2022 14:44:14.429491,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.466666666666665)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.216666666666667)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:15.830701,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.466666666666665)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.216666666666667)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:17.216351,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.466666666666665)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.216666666666667)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:18.564349,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.466666666666665)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.216666666666667)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:19.885775,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.466666666666665)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:21.327854,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:22.744151,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:23.825159,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:25.052143,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.25)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:26.352831,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
