,Tolkowsky,Storm Attack,Drop The Pilot,Giveitallali,Heleva Deel,Harmony Nation,Lexis Choice,Kings Row,Inside Information,The Angels Kiss
05-01-2023 14:39:13.699710,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.5, 15.5)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:15.000347,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.5, 15.5)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:16.348329,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.5, 15.5)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:17.641817,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.5, 15.5)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:18.887652,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.5, 15.35)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:20.127716,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.5, 15.35)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:21.306918,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.5, 15.35)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:22.495991,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.5, 15.35)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:23.707509,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.5, 15.35)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:24.974253,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.0, 15.714285714285714)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
