,Glass Warrior,So Astounding,Travelling Gigolo,Super Swoop,Bell Ringer Boy,King Island,Steel Skies,Always A Winner,Not A Brass Razoo,The Executive,Sunset Gun,The Decider
06-01-2023 16:53:04.200009,"(12.0, 14.5, 14.76923076923077)","(10.0, 12.0, 11.901960784313726)","(2.8, 3.35, 3.2177799607072695)","(12.0, 15.0, 15.142857142857142)","(6.5, 7.0, 6.811494252873563)","(26.0, 40.0, 37.6)","(16.0, 22.0, 20.789473684210527)","(31.0, 55.0, 50.9375)","(8.0, 8.6, 8.435135135135136)","(10.0, 13.0, 12.654347826086957)","(71.0, 120.0, 114.73684210526315)","(31.0, 42.0, 39.6)"
06-01-2023 16:53:06.055445,"(12.0, 15.0, 14.357142857142858)","(10.0, 12.0, 11.863636363636363)","(2.8, 3.25, 3.2164225941422595)","(12.0, 15.5, 15.374213836477988)","(6.5, 7.0, 6.922857142857143)","(26.0, 40.0, 37.375)","(16.0, 22.0, 20.5625)","(31.0, 55.0, 48.285714285714285)","(8.0, 8.6, 8.436111111111112)","(10.0, 13.0, 12.683266932270916)","(71.0, 120.0, 114.73684210526315)","(31.0, 42.0, 40.666666666666664)"
06-01-2023 16:53:07.724773,"(12.0, 14.5, 14.183333333333334)","(10.0, 12.5, 12.11864406779661)","(2.8, 3.25, 3.2250617283950618)","(13.0, 15.5, 15.195652173913043)","(6.5, 7.0, 6.84516129032258)","(26.0, 40.0, 37.0)","(16.0, 22.0, 21.214285714285715)","(31.0, 50.0, 47.5)","(8.0, 8.6, 8.148837209302325)","(10.0, 13.0, 12.693050193050192)","(71.0, 120.0, 111.66666666666667)","(31.0, 44.0, 41.23076923076923)"
06-01-2023 16:53:09.462032,"(12.0, 14.5, 14.183333333333334)","(10.0, 12.5, 12.11864406779661)","(2.8, 3.25, 3.244314381270903)","(13.0, 15.5, 15.08)","(6.5, 7.0, 6.88)","(26.0, 40.0, 37.666666666666664)","(16.0, 22.0, 21.52173913043478)","(31.0, 50.0, 48.22222222222222)","(8.0, 8.4, 8.177777777777777)","(10.0, 13.0, 12.706168831168831)","(71.0, 120.0, 117.5)","(31.0, 44.0, 42.2)"
06-01-2023 16:53:11.149901,"(13.0, 14.5, 14.279069767441861)","(10.0, 12.5, 12.247191011235955)","(2.8, 3.25, 3.2448012232415904)","(13.0, 15.5, 15.08)","(6.5, 7.0, 6.9375)","(26.0, 40.0, 37.0)","(16.0, 22.0, 21.52173913043478)","(31.0, 50.0, 46.36363636363636)","(7.5, 8.4, 8.15609756097561)","(10.0, 13.0, 12.709935897435898)","(71.0, 120.0, 117.5)","(31.0, 44.0, 42.2)"
06-01-2023 16:53:13.083686,"(13.0, 14.5, 14.145348837209303)","(10.0, 12.5, 12.417431192660551)","(2.8, 3.25, 3.2448012232415904)","(13.0, 15.5, 15.291666666666666)","(6.5, 7.0, 6.939240506329114)","(26.0, 40.0, 37.0)","(16.0, 22.0, 21.615384615384617)","(31.0, 50.0, 48.0)","(7.5, 8.4, 8.290140845070422)","(10.0, 13.0, 12.700920245398773)","(71.0, 120.0, 117.5)","(31.0, 44.0, 42.714285714285715)"
06-01-2023 16:53:14.995817,"(13.0, 14.5, 14.17361111111111)","(10.0, 12.5, 12.41)","(2.8, 3.25, 3.2440766550522646)","(13.0, 15.5, 15.291666666666666)","(6.5, 7.0, 6.939240506329114)","(26.0, 40.0, 37.0)","(16.0, 22.0, 21.642857142857142)","(31.0, 50.0, 45.42857142857143)","(7.5, 8.4, 8.258181818181818)","(10.0, 13.0, 12.700920245398773)","(71.0, 120.0, 117.5)","(31.0, 44.0, 42.714285714285715)"
06-01-2023 16:53:16.782382,"(13.0, 14.5, 14.17361111111111)","(10.0, 12.5, 12.41)","(2.8, 3.25, 3.2440766550522646)","(13.0, 15.5, 15.285276073619633)","(6.5, 7.0, 6.925)","(26.0, 40.0, 36.333333333333336)","(16.0, 22.0, 21.5)","(31.0, 50.0, 47.714285714285715)","(7.5, 8.4, 8.226666666666667)","(10.0, 13.0, 12.691455696202532)","(71.0, 120.0, 118.0)","(31.0, 44.0, 42.714285714285715)"
06-01-2023 16:53:18.653865,"(13.0, 14.5, 14.166666666666666)","(10.0, 12.5, 12.414285714285715)","(2.8, 3.25, 3.2444444444444445)","(13.0, 15.5, 15.228070175438596)","(6.5, 7.0, 6.886956521739131)","(26.0, 38.0, 36.333333333333336)","(16.0, 22.0, 20.705882352941178)","(31.0, 50.0, 47.714285714285715)","(7.5, 8.4, 8.246153846153845)","(10.0, 13.0, 12.691455696202532)","(71.0, 120.0, 117.5)","(31.0, 44.0, 42.714285714285715)"
06-01-2023 16:53:20.447372,"(13.0, 14.5, 14.185714285714285)","(10.0, 12.5, 12.388297872340425)","(2.8, 3.25, 3.244059405940594)","(12.0, 15.5, 14.241758241758241)","(6.5, 7.0, 6.5588235294117645)","(26.0, 38.0, 37.333333333333336)","(16.0, 21.0, 20.875)","(31.0, 50.0, 47.64705882352941)","(7.5, 8.4, 9.176)","(10.0, 13.0, 13.313953488372093)","(71.0, 120.0, 112.3529411764706)","(31.0, 44.0, 45.0)"
