,Karinya Trombone,Seabrook Baker,Kid Freeze,Demonicas Beach,Radley Erskin,Exalted Fire,Loves To Talk
08-12-2022 14:25:10.851478,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:12.259090,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:13.350465,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:14.476520,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:15.590604,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:16.822062,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:17.914466,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:18.982398,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:20.231004,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:21.376196,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 18.25)"
08-12-2022 14:25:22.477825,"(2.9, 4.4, 3.285714285714286)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.25)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 23.875)"
