,Champagne Reactor,Feel The Thrill,Rafferty Delights,Keayang Sponge Bob,Borderline,Writeaboutchelsea,Aunty Frances,Torque Writer,Fly Cheval
08-12-2022 15:28:37.165613,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.29)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:38.589331,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:39.939224,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:41.288215,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:42.676235,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:44.089967,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:45.508328,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:46.924328,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:48.329899,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:49.659255,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
