,Providence Bale,Tiger Time,Gypsy Yankee,Russian Sub,Spring Bolt,Dream Wizard,Spring Scout
11-01-2023 21:27:01.633595,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 6.66)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:02.761929,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.319999999999999)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:03.929661,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.784615384615384)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:05.126100,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.159999999999999)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:06.327023,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.644444444444444)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:07.459190,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.514285714285714)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:08.666730,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.514285714285714)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:09.955426,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.514285714285714)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:11.246018,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.514285714285714)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:12.466093,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.514285714285714)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:13.727012,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:15.036827,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:16.453879,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:17.745657,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:18.979915,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:20.243308,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:21.544603,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:22.786521,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.71111111111111)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:24.020371,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.836363636363636)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:25.236249,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:26.437263,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:27.676312,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:28.884641,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:30.043463,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:31.129200,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:32.209573,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:33.248709,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:34.353831,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:35.474108,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:36.613104,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:37.702239,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:38.688404,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:39.680957,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.4799999999999995)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:40.750992,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.844444444444443)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:41.886287,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.2, 7.16)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:43.066153,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.0, 7.16)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:44.262236,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 104.83333333333333)","(4.0, 8.0, 7.16)","(31.0, 190.0, 87.14285714285714)"
11-01-2023 21:27:45.389235,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0357142857142856)","(9.0, 15.5, 11.222222222222221)","(31.0, 120.0, 75.0)","(4.0, 8.0, 7.16)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:46.530141,"(7.0, 12.5, 8.42)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.066666666666667)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.0, 7.5058823529411764)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:47.649152,"(7.0, 12.5, 9.585714285714285)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.066666666666667)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.0, 7.5058823529411764)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:48.705732,"(7.0, 12.5, 9.585714285714285)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.066666666666667)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.0, 7.5058823529411764)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:49.763023,"(7.0, 12.5, 9.585714285714285)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.066666666666667)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.0, 7.3517241379310345)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:50.842676,"(7.0, 12.5, 9.585714285714285)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.066666666666667)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.4, 7.966666666666666)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:52.017490,"(7.0, 12.5, 9.585714285714285)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.066666666666667)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.2, 7.966666666666666)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:53.149561,"(7.0, 12.5, 9.585714285714285)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.066666666666667)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.2, 7.966666666666666)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:54.395226,"(7.0, 12.5, 10.05)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0416666666666665)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.2, 7.966666666666666)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:55.671607,"(7.0, 12.5, 8.74)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0416666666666665)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.2, 7.966666666666666)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:57.047913,"(7.0, 12.5, 8.74)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0416666666666665)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.2, 7.966666666666666)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:58.372879,"(7.0, 12.5, 8.74)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0416666666666665)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.2, 7.966666666666666)","(31.0, 190.0, 47.8)"
11-01-2023 21:27:59.534212,"(7.0, 12.5, 8.74)","(2.35, 3.6, 2.6833333333333336)","(3.2, 3.5, 3.0416666666666665)","(9.0, 15.5, 9.25)","(31.0, 120.0, 75.0)","(4.0, 8.2, 7.966666666666666)","(31.0, 190.0, 47.8)"
