,Sinister,Feisty Phoebe,Our Bright Light,Just Chai,Shadow Terror,Wilshire Boulevard
10-01-2023 20:11:06.154801,"(1.9, 2.74, 2.7282352941176473)","(10.0, 10.0, 9.76)","(4.0, 5.0, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:07.196076,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.5, 9.766666666666667)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:08.194374,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.5, 9.766666666666667)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:09.199953,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.8)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:10.143251,"(1.9, 2.74, 2.6844444444444444)","(10.0, 10.0, 9.8)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:11.422767,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.885714285714286)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:12.480700,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.885714285714286)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:13.431746,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.885714285714286)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:14.411341,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.885714285714286)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:15.366222,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.885714285714286)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:16.375214,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.885714285714286)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:17.263202,"(1.9, 2.74, 2.6923809523809528)","(10.0, 10.0, 9.885714285714286)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
