,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 09:55:31.288493,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:32.749721,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:34.074020,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:35.367776,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:36.627499,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:37.934489,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:39.219553,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:40.485077,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:41.726067,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:43.088947,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:44.466293,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:45.856682,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
