,Attahua Ace,The Trainman,Caymangone,Straytothepoolroom,Sporting Tristar,Marley Bromac,Tabra,Manhattan Lass,Rippin Good Feelin,Sahara Jewel
05-01-2023 12:23:29.448974,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.972727272727273)","(12.0, 24.0, 18.5)","(10.0, 19.0, 15.16)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 13.96)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:30.634027,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.972727272727273)","(12.0, 24.0, 18.5)","(10.0, 19.0, 15.16)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 13.96)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:31.803166,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.972727272727273)","(12.0, 24.0, 18.5)","(10.0, 19.0, 15.16)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 13.96)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:33.073528,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.972727272727273)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:34.282726,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 6.375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:35.517817,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 6.375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:36.718902,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 6.375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:37.885496,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 6.375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:39.077579,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 6.375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:40.210900,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 6.375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:41.396756,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.4375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:42.585163,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.4375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:43.689452,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.4375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:44.786598,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.4375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:45.894049,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.4375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:46.984001,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.4375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:48.148169,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.4375)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:49.282582,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 7.26)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:50.398305,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:51.581994,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:52.794951,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:54.130776,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:55.381681,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:56.584229,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:57.821626,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:23:59.054657,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:24:00.423215,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 26.333333333333336)","(5.0, 10.0, 8.08)"
05-01-2023 12:24:01.753997,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 46.03030303030303)","(5.0, 10.0, 8.08)"
05-01-2023 12:24:02.965283,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 23.0, 17.560000000000002)","(31.0, 120.0, 95.42857142857143)","(19.0, 48.0, 46.03030303030303)","(5.0, 10.0, 8.08)"
05-01-2023 12:24:04.254381,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 9.825)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 22.0, 18.85)","(31.0, 120.0, 81.77777777777777)","(19.0, 48.0, 32.0)","(5.0, 10.0, 8.08)"
05-01-2023 12:24:05.447531,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 24.0, 18.16)","(31.0, 120.0, 81.77777777777777)","(19.0, 48.0, 32.0)","(5.0, 10.0, 8.08)"
05-01-2023 12:24:06.744283,"(5.0, 7.2, 6.800000000000001)","(5.0, 10.5, 8.879999999999999)","(12.0, 24.0, 18.5)","(10.0, 19.0, 17.08)","(3.9, 5.7, 4.266666666666667)","(10.0, 17.0, 15.48)","(11.0, 24.0, 18.16)","(31.0, 120.0, 81.77777777777777)","(19.0, 48.0, 32.0)","(5.0, 10.0, 8.08)"
