,Ollie One Shot,Black Gemstone,Bountyhunter,Just Call Me Harry,Magic Nitro,Exwhygeetee,Doolittle Dazzler,Youroffal,Agent Starling
15-12-2022 12:34:28.796945,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:30.017991,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:31.507624,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:32.723765,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:33.842588,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:34.975086,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:36.177975,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:37.337574,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:38.504950,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:39.837748,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:41.153116,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:42.931925,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:44.456268,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 11.00909090909091)","(71.0, 220.0, 116.66666666666666)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:45.967655,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(71.0, 220.0, 87.14285714285714)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:47.538847,"(1.4, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(17.0, 30.0, 26.25)","(51.0, 140.0, 93.0)","(12.0, 16.0, 15.565217391304348)","(8.5, 11.5, 10.72857142857143)","(71.0, 220.0, 110.0)","(8.0, 11.0, 10.9)"
15-12-2022 12:34:48.970480,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.565217391304348)","(8.5, 11.5, 10.72857142857143)","(81.0, 200.0, 110.0)","(8.5, 11.0, 10.9)"
15-12-2022 12:34:50.548735,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.565217391304348)","(8.5, 11.5, 10.72857142857143)","(81.0, 200.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:34:52.102551,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.565217391304348)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:34:53.778260,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:34:55.101211,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:34:56.435085,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:34:57.989964,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:34:59.361305,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:00.691998,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:02.151952,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:03.921157,"(1.35, 2.04, 1.97)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:05.508356,"(1.35, 2.04, 1.962)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:07.236079,"(1.35, 2.04, 1.93)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:08.955026,"(1.35, 2.0, 1.962)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:10.390794,"(1.35, 2.04, 1.7048148148148148)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:11.813505,"(1.35, 2.02, 1.7048148148148148)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(19.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:13.112927,"(1.3, 2.0, 1.93)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(20.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:14.356727,"(1.3, 2.04, 1.962)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(20.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:15.803401,"(1.3, 2.04, 1.962)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(20.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
