,Capricorn Ridge,Mr Marathon Man,Secret War,Lope De Wolf,Danish Fortune,Artful Ambition,Kingson,Time Warrior,Trygve,Mr Whitacre,The Ladies Man
07-01-2023 15:30:28.819881,"(21.0, 27.0, 26.955555555555556)","(20.0, 25.0, 24.34)","(2.9, 3.15, 3.1376229508196722)","(8.0, 10.5, 10.0425)","(3.3, 3.85, 3.8409574468085106)","(31.0, 38.0, 37.54545454545455)","(14.0, 18.0, 18.10810810810811)","(41.0, 55.0, 53.03921568627451)","(9.0, 11.5, 11.177824267782427)","(31.0, 38.0, 36.79245283018868)","(31.0, 44.0, 42.46666666666667)"
07-01-2023 15:30:30.459684,"(21.0, 27.0, 26.955555555555556)","(20.0, 25.0, 24.34)","(2.9, 3.15, 3.1630710659898478)","(8.0, 10.5, 10.036486486486487)","(3.3, 3.9, 3.832228915662651)","(31.0, 38.0, 37.54545454545455)","(14.0, 18.5, 17.92)","(41.0, 55.0, 53.03921568627451)","(9.0, 11.5, 11.163755458515285)","(31.0, 38.0, 35.68181818181818)","(31.0, 44.0, 42.46666666666667)"
07-01-2023 15:30:32.182311,"(21.0, 27.0, 26.862745098039216)","(20.0, 26.0, 26.106382978723403)","(2.9, 3.2, 3.1505681818181817)","(8.0, 10.5, 9.994174757281554)","(3.3, 3.85, 3.8294117647058825)","(31.0, 38.0, 37.54545454545455)","(14.0, 18.5, 17.85185185185185)","(41.0, 55.0, 54.25531914893617)","(9.0, 11.5, 11.164473684210526)","(31.0, 36.0, 35.64102564102564)","(31.0, 44.0, 42.60606060606061)"
07-01-2023 15:30:33.903301,"(21.0, 27.0, 26.862745098039216)","(20.0, 27.0, 25.793893129770993)","(2.9, 3.2, 3.176985559566787)","(8.0, 10.0, 9.981159420289854)","(3.3, 3.85, 3.7944444444444443)","(31.0, 38.0, 37.54545454545455)","(14.0, 18.0, 17.6)","(41.0, 55.0, 53.41269841269841)","(9.0, 11.5, 11.197368421052632)","(31.0, 36.0, 35.64102564102564)","(31.0, 44.0, 42.43478260869565)"
07-01-2023 15:30:35.518394,"(21.0, 28.0, 26.967032967032967)","(20.0, 27.0, 25.793893129770993)","(2.9, 3.2, 3.174448897795591)","(8.0, 10.0, 9.91186440677966)","(3.3, 3.8, 3.8289934354485777)","(31.0, 38.0, 37.54545454545455)","(14.0, 18.0, 17.727272727272727)","(41.0, 55.0, 52.82608695652174)","(9.0, 11.5, 11.045454545454545)","(31.0, 36.0, 35.64102564102564)","(31.0, 44.0, 42.83870967741935)"
07-01-2023 15:30:37.141189,"(21.0, 28.0, 26.967032967032967)","(20.0, 27.0, 25.81203007518797)","(2.9, 3.2, 3.157942238267148)","(8.0, 10.0, 9.735000000000001)","(3.3, 3.85, 3.834490740740741)","(31.0, 38.0, 37.61904761904762)","(14.0, 18.0, 17.894736842105264)","(41.0, 55.0, 51.142857142857146)","(9.0, 11.5, 10.86624203821656)","(31.0, 36.0, 37.45454545454545)","(31.0, 44.0, 43.15151515151515)"
07-01-2023 15:30:38.996600,"(21.0, 28.0, 27.020833333333332)","(20.0, 27.0, 25.81203007518797)","(2.9, 3.2, 3.1391768292682927)","(8.0, 9.8, 9.749514563106796)","(3.3, 3.85, 3.8575342465753426)","(31.0, 38.0, 37.61904761904762)","(14.0, 18.0, 18.035714285714285)","(41.0, 55.0, 51.36538461538461)","(9.0, 11.0, 10.868200836820083)","(31.0, 38.0, 37.714285714285715)","(31.0, 44.0, 43.08571428571429)"
07-01-2023 15:30:40.558173,"(21.0, 28.0, 27.020833333333332)","(20.0, 27.0, 25.863309352517987)","(2.9, 3.15, 3.157238307349666)","(8.0, 9.8, 9.72982456140351)","(3.4, 3.9, 3.8589430894308943)","(31.0, 38.0, 37.61904761904762)","(15.0, 18.5, 18.008474576271187)","(41.0, 55.0, 51.36538461538461)","(9.0, 11.0, 10.819628647214854)","(31.0, 40.0, 37.714285714285715)","(31.0, 44.0, 43.08571428571429)"
07-01-2023 15:30:42.173345,"(21.0, 28.0, 26.906976744186046)","(20.0, 27.0, 25.863309352517987)","(2.9, 3.2, 3.157238307349666)","(8.0, 9.8, 9.732773109243698)","(3.4, 3.9, 3.860752688172043)","(31.0, 38.0, 34.17910447761194)","(15.0, 18.5, 17.829545454545453)","(41.0, 55.0, 50.21052631578947)","(9.0, 11.0, 10.831043956043956)","(31.0, 40.0, 37.714285714285715)","(31.0, 44.0, 43.08571428571429)"
07-01-2023 15:30:43.768019,"(21.0, 27.0, 25.333333333333332)","(20.0, 27.0, 25.857142857142858)","(2.9, 3.2, 3.1872000000000003)","(8.0, 9.8, 9.737007874015749)","(3.3, 3.9, 3.8837912087912088)","(31.0, 36.0, 33.48936170212766)","(15.0, 18.0, 17.829545454545453)","(41.0, 55.0, 50.45)","(9.0, 11.0, 10.831967213114755)","(31.0, 40.0, 37.714285714285715)","(31.0, 44.0, 43.08571428571429)"
07-01-2023 15:30:45.303473,"(21.0, 26.0, 25.115384615384617)","(20.0, 27.0, 25.91156462585034)","(2.9, 3.2, 3.20309364548495)","(8.0, 9.8, 9.748484848484848)","(3.3, 3.9, 3.8876712328767122)","(31.0, 34.0, 33.64179104477612)","(15.0, 18.0, 17.89189189189189)","(41.0, 55.0, 51.05263157894737)","(9.0, 11.0, 10.934782608695652)","(31.0, 40.0, 37.46666666666667)","(31.0, 44.0, 43.1875)"
07-01-2023 15:30:47.066088,"(21.0, 26.0, 25.115384615384617)","(20.0, 27.0, 25.8375)","(2.9, 3.25, 3.208313632781718)","(8.0, 9.8, 9.726153846153846)","(3.3, 3.9, 3.880232558139535)","(31.0, 34.0, 33.80487804878049)","(15.0, 18.0, 18.0)","(41.0, 55.0, 50.816326530612244)","(9.0, 11.0, 10.94574780058651)","(31.0, 38.0, 37.45454545454545)","(31.0, 44.0, 43.16129032258065)"
07-01-2023 15:30:49.229069,"(21.0, 26.0, 25.263157894736842)","(20.0, 27.0, 25.784313725490197)","(2.9, 3.25, 3.2147333333333337)","(8.0, 9.8, 9.714685314685315)","(3.4, 3.9, 3.8437984496124034)","(31.0, 34.0, 33.80487804878049)","(15.0, 18.5, 18.0)","(41.0, 55.0, 50.816326530612244)","(9.0, 11.0, 10.933234421364984)","(31.0, 38.0, 37.45454545454545)","(31.0, 44.0, 43.241379310344826)"
07-01-2023 15:30:51.032514,"(21.0, 26.0, 25.636363636363637)","(20.0, 27.0, 25.714285714285715)","(2.9, 3.25, 3.211476664116297)","(8.0, 9.8, 9.632558139534883)","(3.4, 3.85, 3.841254752851711)","(31.0, 34.0, 33.80487804878049)","(15.0, 18.5, 18.0)","(41.0, 55.0, 53.1)","(9.0, 11.0, 10.933823529411764)","(31.0, 38.0, 36.92307692307692)","(31.0, 44.0, 42.857142857142854)"
07-01-2023 15:30:52.866022,"(21.0, 27.0, 25.42105263157895)","(20.0, 27.0, 25.714285714285715)","(2.9, 3.25, 3.205027932960894)","(8.0, 9.8, 9.610526315789473)","(3.4, 3.85, 3.841320754716981)","(31.0, 34.0, 33.80487804878049)","(15.0, 18.5, 18.008474576271187)","(41.0, 55.0, 53.1)","(9.0, 11.0, 10.933823529411764)","(31.0, 38.0, 36.705882352941174)","(31.0, 44.0, 43.0)"
07-01-2023 15:30:54.693431,"(21.0, 27.0, 26.285714285714285)","(20.0, 27.0, 25.714285714285715)","(2.9, 3.25, 3.208958485069192)","(8.0, 9.8, 9.666666666666668)","(3.4, 3.85, 3.8398230088495575)","(31.0, 34.0, 33.76190476190476)","(15.0, 18.5, 18.21)","(41.0, 55.0, 53.403361344537814)","(9.0, 11.0, 11.073630136986301)","(31.0, 38.0, 38.46153846153846)","(31.0, 44.0, 43.2)"
