,Sheila Sazs,Nixon Bale,Audacious Flame,Mt View Bee,Elswyk Shadow,Tangerine Sands,Our Winnie,Celtic Gypsy
07-01-2023 10:09:44.917533,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:46.188792,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:47.489520,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:48.707721,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:49.968972,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:51.230957,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:52.397408,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:53.589831,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:54.679033,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:55.674141,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:56.815120,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:57.973702,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:09:59.164462,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:00.304709,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:01.502464,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
