,Turnpike Bob,Grab The Gold,Spikes Shirl,Striking Moon,Hashtag Winning,Rocket Blast,Ready And Rich
12-01-2023 09:37:21.369595,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:22.367276,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:23.381848,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:24.614574,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:25.783978,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:27.030237,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:28.130153,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:29.254870,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:30.272334,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:31.317329,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:32.391290,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:33.526619,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:34.476813,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:35.526191,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:36.618232,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:37.771756,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
