,Jackies Irishdream,Obabe,Sara Mia,Life Of Saturdays,Sweet Laura,Mission Belle
15-12-2022 11:30:03.944637,"(5.5, 5.7, 5.378571428571429)","(4.4, 8.2, 7.346153846153845)","(2.45, 7.0, 6.324999999999999)","(7.5, 50.0, 44.199999999999996)","(8.5, 14.5, 13.5)","(5.5, 9.2, 8.649999999999999)"
15-12-2022 11:30:05.107435,"(5.5, 5.7, 5.378571428571429)","(4.4, 8.2, 7.346153846153845)","(2.45, 7.0, 6.324999999999999)","(7.5, 50.0, 44.199999999999996)","(8.5, 14.5, 13.428571428571429)","(5.5, 9.2, 8.649999999999999)"
15-12-2022 11:30:06.355012,"(5.5, 5.7, 5.378571428571429)","(4.4, 7.2, 6.75)","(2.45, 6.4, 4.852631578947369)","(7.5, 21.0, 19.066666666666666)","(8.5, 14.5, 12.7)","(5.5, 8.4, 6.316666666666667)"
15-12-2022 11:30:07.518331,"(5.5, 5.7, 5.0)","(4.4, 7.0, 6.583333333333334)","(2.45, 6.0, 5.008333333333333)","(7.5, 21.0, 19.066666666666666)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.316666666666667)"
15-12-2022 11:30:08.703558,"(5.5, 5.7, 5.0)","(4.4, 7.0, 6.583333333333334)","(2.45, 5.9, 5.188888888888889)","(7.5, 21.0, 19.066666666666666)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.316666666666667)"
15-12-2022 11:30:09.926647,"(5.5, 5.7, 5.0)","(4.4, 7.0, 6.583333333333334)","(2.45, 5.9, 5.188888888888889)","(7.5, 21.0, 19.066666666666666)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.316666666666667)"
15-12-2022 11:30:11.212362,"(5.5, 5.7, 5.0)","(4.4, 7.0, 6.583333333333334)","(2.45, 5.9, 5.355555555555556)","(7.5, 21.0, 19.066666666666666)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.316666666666667)"
15-12-2022 11:30:12.210320,"(5.5, 5.7, 5.0)","(4.4, 7.0, 6.583333333333334)","(2.45, 6.2, 5.355555555555556)","(7.5, 21.0, 19.066666666666666)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.316666666666667)"
15-12-2022 11:30:13.236358,"(5.5, 5.7, 5.0)","(4.4, 7.4, 6.28)","(2.45, 6.0, 4.953846153846154)","(7.5, 21.0, 19.066666666666666)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.72)"
15-12-2022 11:30:14.323358,"(5.5, 5.7, 5.0)","(4.4, 7.4, 6.28)","(2.45, 6.0, 5.442857142857143)","(7.5, 21.0, 18.233333333333334)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.72)"
15-12-2022 11:30:15.342729,"(5.5, 5.6, 5.08)","(4.4, 7.4, 6.28)","(2.45, 5.9, 5.442857142857143)","(7.5, 20.0, 18.233333333333334)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.72)"
15-12-2022 11:30:16.359571,"(5.5, 5.6, 5.08)","(4.4, 7.4, 6.28)","(2.45, 5.9, 5.442857142857143)","(7.5, 20.0, 18.233333333333334)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.72)"
15-12-2022 11:30:17.374695,"(5.5, 5.6, 5.08)","(4.4, 7.4, 6.28)","(2.45, 5.9, 5.442857142857143)","(7.5, 20.0, 18.233333333333334)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.72)"
15-12-2022 11:30:18.392358,"(5.5, 5.6, 5.08)","(4.4, 7.4, 6.28)","(2.45, 5.9, 5.442857142857143)","(7.5, 20.0, 18.233333333333334)","(8.5, 14.0, 12.7)","(5.5, 8.4, 6.72)"
15-12-2022 11:30:19.386515,"(5.5, 5.6, 5.08)","(5.0, 7.4, 6.28)","(2.25, 5.9, 5.442857142857143)","(9.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.7)","(5.0, 8.4, 6.72)"
