,Sudden Comfort,Pay Roll,Tranquil Ben,Stacked Deck,Clover Athena,Modulating
15-12-2022 12:07:57.175661,"(3.5, 6.4, 4.69)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:58.112907,"(3.5, 6.4, 4.626666666666667)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:59.087991,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 6.12)","(19.0, 55.0, 43.90625)"
15-12-2022 12:07:59.995849,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 6.12)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:00.852729,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.2846153846153845)","(4.6, 7.0, 5.6000000000000005)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:01.770757,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:02.756379,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:03.705382,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:04.603661,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:05.502272,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.466666666666667)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:06.425219,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:07.377131,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 55.0, 43.90625)"
15-12-2022 12:08:08.315684,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 55.0, 42.94736842105263)"
15-12-2022 12:08:09.266727,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:10.107356,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:11.021989,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:11.967284,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:12.825463,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:13.657953,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:14.527958,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:15.380460,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:16.254062,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:17.185562,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:18.084077,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.12)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:18.978015,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:19.953316,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:20.854740,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:21.839839,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:22.709718,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:23.575644,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.6000000000000005)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:24.502630,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:25.459322,"(3.5, 6.4, 4.9071428571428575)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:26.363043,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 5.9)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
