,Preston Lee,Remnants,Claretown Rocky,Invictus Ethan,Skibo Rebel
09-01-2023 13:53:59.816719,"(1.01, 1.17, 1.1584615384615384)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:54:00.670071,"(1.01, 1.17, 1.1584615384615384)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:54:01.555205,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:54:02.451847,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 59.54545454545455)","(61.0, 540.0, 300.0)"
09-01-2023 13:54:03.387009,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 56.59090909090909)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:04.401165,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:05.373221,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:06.292128,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:07.250011,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:08.158012,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:09.008148,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:09.853521,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:10.965714,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:12.061955,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:13.112230,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:14.090704,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:15.105483,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:16.118148,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:17.115649,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:18.074489,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:19.022344,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:20.125091,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:21.300810,"(1.01, 1.17, 1.1663709677419354)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:22.432813,"(1.01, 1.17, 1.1683695652173913)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:23.420286,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:24.453651,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:25.454561,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:26.343845,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:27.270244,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:28.193047,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:29.147479,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:30.038975,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:30.988901,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:31.919269,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:32.849782,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:33.844152,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:34.871013,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:35.864270,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:36.772056,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:37.667207,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:38.608392,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:39.555292,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:40.447082,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:41.412727,"(1.01, 1.17, 1.1678971962616822)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:42.346226,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:43.352172,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:44.324578,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:45.141608,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:46.042300,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:47.063128,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:48.062770,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:48.979233,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:49.862246,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 355.38461538461536)"
09-01-2023 13:54:50.818618,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:51.833863,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:52.889797,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:53.812663,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:54.734944,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:55.693159,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:56.683845,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:57.599291,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:54:58.502375,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
