,Batty,Mayapretty,Take Me As I Am,Aphrodites Revenge,Dixie Loving,Velvet Night,Holy War
16-12-2022 11:48:02.852434,"(10.0, 18.0, 14.0)","(6.0, 12.5, 11.085714285714285)","(2.8, 3.8, 3.6285714285714286)","(3.5, 4.7, 4.511764705882353)","(31.0, 99999, 5005.5)","(4.4, 8.0, 7.175)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:03.933243,"(10.0, 18.0, 14.0)","(6.0, 12.5, 11.085714285714285)","(2.8, 3.8, 3.6285714285714286)","(3.5, 4.8, 4.208695652173913)","(31.0, 99999, 5005.5)","(4.4, 8.0, 7.175)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:05.004130,"(10.0, 18.0, 14.0)","(6.0, 12.5, 11.085714285714285)","(2.8, 3.8, 3.6285714285714286)","(3.5, 4.8, 4.208695652173913)","(31.0, 980.0, 496.0)","(4.4, 8.0, 7.175)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:05.959299,"(10.0, 18.0, 14.0)","(6.0, 12.5, 11.085714285714285)","(2.8, 3.8, 3.6285714285714286)","(3.5, 4.8, 4.292307692307692)","(31.0, 980.0, 496.0)","(4.4, 8.0, 7.175)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:06.936650,"(10.0, 18.0, 14.0)","(6.0, 12.5, 11.085714285714285)","(2.8, 3.8, 3.6285714285714286)","(3.5, 4.8, 4.292307692307692)","(31.0, 980.0, 496.0)","(4.4, 8.0, 7.175)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:07.936315,"(10.0, 18.0, 14.0)","(6.0, 12.5, 11.085714285714285)","(2.8, 3.8, 3.6285714285714286)","(3.5, 4.8, 4.7625)","(31.0, 980.0, 5005.5)","(4.4, 8.0, 7.175)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:08.897444,"(10.0, 18.0, 14.0)","(6.0, 5.9, 5.666666666666667)","(2.8, 3.8, 3.6285714285714286)","(3.5, 5.3, 4.7625)","(31.0, 99999, 5005.5)","(4.4, 8.0, 7.175)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:09.906743,"(10.0, 18.0, 14.0)","(6.0, 12.5, 10.509090909090908)","(2.8, 3.8, 3.6285714285714286)","(3.5, 5.3, 4.992857142857143)","(31.0, 99999, 5005.5)","(4.4, 8.0, 5.36)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:11.059225,"(10.0, 18.0, 14.0)","(6.0, 12.5, 10.509090909090908)","(2.8, 3.8, 3.364516129032258)","(3.5, 5.3, 4.9775)","(31.0, 99999, 5005.5)","(4.4, 8.0, 5.36)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:12.218554,"(10.0, 18.0, 14.0)","(6.0, 12.5, 10.509090909090908)","(2.8, 3.8, 3.364516129032258)","(3.5, 5.3, 4.9775)","(31.0, 99999, 5005.5)","(4.4, 8.0, 5.36)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:13.314515,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 10.066666666666666)","(2.8, 3.8, 3.7753213367609253)","(3.5, 5.3, 5.221052631578948)","(31.0, 99999, 5005.5)","(4.4, 8.0, 6.35)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:14.285833,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 10.066666666666666)","(2.8, 3.8, 3.7753213367609253)","(3.5, 5.3, 5.221052631578948)","(31.0, 99999, 5005.5)","(4.4, 8.0, 6.35)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:15.275784,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 10.509090909090908)","(2.8, 3.75, 3.7486760812003532)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.333333333333334)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:16.226790,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 10.509090909090908)","(2.8, 3.75, 3.7486760812003532)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.333333333333334)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:17.216051,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 10.509090909090908)","(2.8, 3.8, 3.7753213367609253)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.84)","(18.0, 38.0, 27.0)"
16-12-2022 11:48:18.270286,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.8, 3.7753213367609253)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 5.4)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:19.343974,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.8, 3.7753001715265864)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.2)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:20.432621,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.8, 3.7753001715265864)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.2)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:21.413217,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.8, 3.7753001715265864)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.2)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:22.369967,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.8, 2.4357894736842103)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.2)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:23.268296,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.8, 2.4357894736842103)","(3.5, 5.3, 5.006818181818182)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.2)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:24.253401,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.8, 3.744904347826087)","(3.5, 5.3, 3.6319999999999997)","(31.0, 99999, 5005.5)","(4.4, 11.0, 6.2)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:25.301303,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.55, 3.5459444941808416)","(3.5, 5.3, 3.3200000000000003)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.2)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:26.390192,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.5, 3.4973835125448027)","(3.5, 5.3, 3.3200000000000003)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 7.0)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:27.469126,"(10.0, 18.0, 14.571428571428571)","(6.0, 12.5, 8.0)","(2.8, 3.5, 3.448888888888889)","(3.5, 5.3, 3.3200000000000003)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:28.561091,"(10.0, 18.0, 12.0)","(6.0, 12.5, 8.0)","(2.8, 3.1, 2.8805970149253732)","(3.5, 5.3, 3.3200000000000003)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:29.514694,"(10.0, 18.0, 12.0)","(6.0, 12.5, 7.7)","(2.8, 3.1, 2.3554716981132073)","(3.5, 5.3, 3.95)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:30.424896,"(10.0, 18.0, 12.0)","(6.0, 12.5, 7.7)","(2.8, 2.36, 2.3554716981132073)","(3.5, 5.3, 3.95)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:31.462453,"(10.0, 18.0, 12.0)","(6.0, 12.5, 7.7)","(2.8, 2.36, 2.3554716981132073)","(3.5, 5.3, 3.95)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 38.0, 33.833333333333336)"
16-12-2022 11:48:32.534203,"(10.0, 18.0, 12.0)","(6.0, 12.5, 7.7)","(2.8, 2.36, 2.3554716981132073)","(3.5, 5.3, 3.95)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 38.0, 37.25)"
16-12-2022 11:48:33.643720,"(10.0, 18.0, 12.0)","(6.0, 12.5, 7.7)","(2.8, 2.36, 2.3554716981132073)","(3.5, 5.3, 3.95)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 38.0, 48.0)"
16-12-2022 11:48:34.703599,"(10.0, 18.0, 12.0)","(6.0, 12.5, 6.5)","(2.8, 3.8, 2.504)","(3.5, 5.3, 3.3200000000000003)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 6.84)","(18.0, 55.0, 48.0)"
16-12-2022 11:48:35.820442,"(10.0, 18.0, 12.0)","(6.0, 12.5, 6.5)","(2.8, 3.55, 3.04)","(3.5, 5.3, 3.3200000000000003)","(31.0, 99999, 6682.666666666667)","(4.4, 11.0, 7.55)","(18.0, 55.0, 64.66666666666667)"
