,Skipover,Win For Laila,Asgata,Miss Conveyor,Crimson Lille,Elegant Taste,Jo Amy,Mischief Melody,Santafe Express,Awesome Tap
12-01-2023 10:28:42.020289,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:43.271713,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.66)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:44.438905,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:45.663645,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:46.866965,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:48.098029,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:49.355908,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:50.660357,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:52.041417,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:53.368560,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
12-01-2023 10:28:54.615445,"(21.0, 190.0, 145.0)","(9.0, 16.5, 13.14)","(14.0, 230.0, 198.78571428571428)","(5.0, 7.6, 6.044444444444444)","(19.0, 230.0, 194.0)","(4.0, 7.4, 5.857142857142858)","(7.0, 32.0, 23.200000000000003)","(3.3, 4.5, 3.9)","(10.0, 23.0, 16.5)","(31.0, 230.0, 178.25)"
