,Helping Hands,Framalda,Optimus Bruce,Infiltrate,Spooky Ethics,El Bravo,Angelic Tess,Sublime Cody
14-12-2022 13:57:18.335882,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:19.653537,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:20.979827,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:22.275475,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:23.598438,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:24.874886,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:26.040535,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:27.338359,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:28.571430,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:29.758347,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:30.811937,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:31.926846,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:33.314703,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:34.651447,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:35.963265,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:37.314195,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:38.533028,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:39.711090,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:40.978475,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:42.117638,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:43.218872,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:44.392215,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 9.95)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:45.577870,"(8.5, 22.0, 15.2)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 20.8)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 11.777272727272727)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:46.742702,"(8.5, 22.0, 10.666666666666668)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 22.041666666666668)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 11.777272727272727)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:47.867761,"(8.5, 22.0, 10.666666666666668)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 22.041666666666668)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 11.777272727272727)","(5.5, 8.2, 7.699999999999999)"
14-12-2022 13:57:48.961204,"(8.5, 22.0, 10.666666666666668)","(5.0, 8.0, 7.532258064516129)","(11.0, 23.0, 22.041666666666668)","(4.6, 7.4, 6.233333333333333)","(4.4, 7.6, 5.355172413793103)","(7.0, 11.5, 10.765)","(7.5, 12.5, 11.777272727272727)","(5.5, 8.2, 7.699999999999999)"
