,Parkburn,Roadhouse,Cochrane,Chalkley,Lily Allez,Sound Of Sleat,Sweet Fantasy,Kashkar,Wren Plucked
06-01-2023 16:49:06.076638,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:07.261946,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:08.448484,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:09.604060,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:10.876775,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:12.174513,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:13.434671,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:14.713750,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.829032258064516)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:16.006084,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:17.288007,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:18.535207,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
