,My Compass,King Of All,Lektra Nick,Irenes A Star,Prussian Spirit,Bushmans Prayer,Major China,Why Not Gigi
04-01-2023 16:06:54.979311,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:06:56.063079,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:06:57.237188,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:06:58.511418,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:06:59.758411,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:00.966450,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:02.206699,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:03.462686,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:04.641510,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:05.705738,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
