,Sheza Tigeress,Friday Thirteenth,Curveball,Sals Last Blast,Kimchi,Kenny What,American Mandy,Sweet Sunshine,Sweet Rippin,Our Sweet Royale
10-01-2023 21:17:25.865622,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 184.28571428571428)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 183.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 10.46)"
10-01-2023 21:17:27.189417,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 184.28571428571428)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 183.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 10.46)"
10-01-2023 21:17:28.516365,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 184.28571428571428)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 183.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 10.46)"
10-01-2023 21:17:30.138035,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 184.28571428571428)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 183.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 10.46)"
10-01-2023 21:17:31.550887,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 184.28571428571428)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 183.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 10.46)"
10-01-2023 21:17:32.978235,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 184.28571428571428)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 10.46)"
10-01-2023 21:17:34.344194,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 184.28571428571428)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 10.46)"
10-01-2023 21:17:35.726234,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:37.106598,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:38.530716,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:39.925789,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:41.405138,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:42.977138,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:44.475878,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:45.960306,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.8, 12.5, 9.95)"
10-01-2023 21:17:47.659866,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.6, 12.5, 9.95)"
10-01-2023 21:17:49.408820,"(11.0, 21.0, 11.057142857142857)","(101.0, 220.0, 191.42857142857144)","(14.0, 28.0, 15.142857142857142)","(3.5, 5.0, 3.933333333333333)","(4.6, 9.0, 7.24)","(101.0, 220.0, 140.0)","(2.9, 4.3, 3.157142857142857)","(71.0, 210.0, 184.0)","(21.0, 85.0, 59.8)","(4.6, 12.5, 9.95)"
