,Goldngalaxy,Mata Ole Le Afa,Sheza Adda,Times Tickin,Last Mini Minor,Brooklyn Mai Tai
07-12-2022 13:29:21.799568,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:22.839181,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:23.792799,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:24.854388,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:25.999969,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:27.092990,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:28.211669,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:29.274114,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:30.325375,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:31.465462,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
