,Dark Harmony,Eddy Street,Elroy,Johnny Utah,Kureder,Kalends,Daring Diego,Heroic Miss,Mission Of Love,Chaysen The King,Chicka,Mishani Supreme
11-01-2023 15:39:03.545311,"(3.3, 3.8, 3.7076923076923074)","(31.0, 46.0, 44.4)","(91.0, 190.0, 130.0)","(15.0, 23.0, 21.4)","(26.0, 38.0, 35.30769230769231)","(5.0, 5.5, 5.306451612903226)","(6.5, 8.2, 7.904347826086957)","(14.0, 30.0, 25.5)","(3.3, 4.2, 4.08)","(31.0, 60.0, 46.333333333333336)","(101.0, 150.0, 130.0)","(31.0, 85.0, 65.0)"
11-01-2023 15:39:05.067203,"(3.3, 3.8, 3.7076923076923074)","(31.0, 46.0, 44.4)","(91.0, 190.0, 130.0)","(15.0, 23.0, 21.4)","(26.0, 36.0, 35.30769230769231)","(5.0, 5.5, 5.306451612903226)","(6.5, 8.2, 7.904347826086957)","(14.0, 30.0, 25.5)","(3.3, 4.2, 4.08)","(31.0, 55.0, 46.333333333333336)","(101.0, 150.0, 130.0)","(31.0, 85.0, 65.0)"
11-01-2023 15:39:06.584057,"(3.3, 3.8, 3.7076923076923074)","(31.0, 46.0, 44.4)","(91.0, 190.0, 145.0)","(15.0, 23.0, 21.4)","(26.0, 36.0, 35.30769230769231)","(5.0, 5.5, 5.306451612903226)","(6.5, 8.2, 7.904347826086957)","(14.0, 30.0, 25.5)","(3.3, 4.2, 4.08)","(31.0, 55.0, 46.333333333333336)","(101.0, 150.0, 130.0)","(31.0, 85.0, 70.0)"
11-01-2023 15:39:08.195418,"(3.3, 3.8, 3.6941176470588233)","(31.0, 46.0, 44.4)","(91.0, 190.0, 154.0)","(15.0, 23.0, 19.4)","(26.0, 36.0, 35.30769230769231)","(5.0, 5.5, 5.306451612903226)","(6.5, 8.2, 7.904347826086957)","(14.0, 30.0, 25.5)","(3.3, 4.2, 4.08)","(31.0, 55.0, 46.333333333333336)","(101.0, 150.0, 134.0)","(31.0, 85.0, 70.0)"
11-01-2023 15:39:09.749681,"(3.3, 3.8, 3.7076923076923074)","(31.0, 46.0, 44.4)","(91.0, 190.0, 130.0)","(15.0, 23.0, 19.4)","(26.0, 36.0, 32.0)","(5.0, 5.5, 5.306451612903226)","(6.5, 8.2, 7.904347826086957)","(14.0, 30.0, 25.5)","(3.3, 4.2, 4.142307692307693)","(31.0, 55.0, 46.333333333333336)","(101.0, 150.0, 134.0)","(31.0, 85.0, 70.0)"
11-01-2023 15:39:11.366887,"(3.3, 3.8, 3.7076923076923074)","(31.0, 46.0, 44.22222222222222)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.142857142857142)","(26.0, 36.0, 35.0)","(5.0, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 30.0, 26.142857142857142)","(3.3, 4.2, 4.142307692307693)","(31.0, 55.0, 46.333333333333336)","(101.0, 150.0, 134.0)","(31.0, 85.0, 73.0)"
11-01-2023 15:39:12.938822,"(3.3, 3.8, 3.7076923076923074)","(31.0, 46.0, 43.0)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.142857142857142)","(26.0, 42.0, 35.0)","(4.8, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 29.0, 26.57142857142857)","(3.3, 4.2, 4.142307692307693)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 134.0)","(31.0, 85.0, 73.0)"
11-01-2023 15:39:14.422092,"(3.3, 3.8, 3.7076923076923074)","(31.0, 46.0, 43.333333333333336)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.142857142857142)","(26.0, 42.0, 35.0)","(4.8, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 30.0, 26.57142857142857)","(3.3, 4.2, 4.142307692307693)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 134.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:15.995401,"(3.3, 3.8, 3.7076923076923074)","(31.0, 50.0, 43.333333333333336)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 42.0, 35.0)","(4.8, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 30.0, 26.57142857142857)","(3.3, 4.2, 4.142307692307693)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 134.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:17.580998,"(3.3, 3.8, 3.7076923076923074)","(31.0, 50.0, 37.0)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 42.0, 35.0)","(4.8, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 30.0, 26.57142857142857)","(3.3, 4.2, 4.142307692307693)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 134.0)","(31.0, 85.0, 79.0)"
