,Hillbilly Lass,Gazers Lane,Jasper Bale,Atomic Flea,Salience,Aston Delight,Reiko Clooney,Mr Fitty
09-01-2023 13:34:24.183317,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:25.515270,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:26.730948,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:27.891231,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:29.141516,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:30.453972,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:31.731619,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:32.922606,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:34.211431,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:35.370383,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:36.531301,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:37.654641,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:38.880227,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:40.139724,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:41.380211,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:42.591365,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:43.795007,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:45.033190,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:46.377649,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
