,Dont Tell Benji,Mac Cruz,Spellman,Aston Senator,Hey Tootle,Aston Zabbar,Kumani Sapphire
09-01-2023 14:56:15.159304,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:16.253794,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:17.345181,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:18.435822,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:19.681448,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:20.926159,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:22.133547,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:23.235489,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.0)"
09-01-2023 14:56:24.339345,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 18.5, 15.923076923076923)"
09-01-2023 14:56:25.405399,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
