,Book Launch,Dio,Foxys Star,Gottaluvjimmy,Kashiwa,Swiftly Ned,Ceejay,Prophets Choice,Alassak,Lotus Land,Springlodge,Miss Epernay
07-01-2023 13:26:19.856409,"(7.0, 11.5, 10.825)","(4.6, 5.6, 5.219047619047619)","(18.0, 50.0, 42.22222222222222)","(4.8, 5.3, 5.277011494252873)","(21.0, 65.0, 32.0)","(8.5, 13.0, 11.181818181818182)","(8.0, 9.6, 9.32)","(6.0, 7.2, 6.685714285714285)","(21.0, 30.0, 22.125)","(14.0, 24.0, 20.444444444444443)","(26.0, 90.0, 54.285714285714285)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:21.337388,"(7.0, 11.5, 10.9)","(4.6, 5.6, 5.219047619047619)","(18.0, 48.0, 38.54545454545455)","(4.8, 5.3, 5.277011494252873)","(21.0, 65.0, 31.25)","(8.5, 13.0, 11.181818181818182)","(8.0, 9.6, 9.345454545454546)","(6.0, 7.2, 6.685714285714285)","(21.0, 30.0, 25.833333333333332)","(14.0, 24.0, 20.444444444444443)","(26.0, 90.0, 54.285714285714285)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:22.898356,"(7.0, 11.5, 10.9)","(4.6, 5.6, 5.219047619047619)","(18.0, 48.0, 43.0)","(4.8, 5.3, 5.277011494252873)","(21.0, 65.0, 31.25)","(8.5, 13.0, 11.181818181818182)","(8.0, 9.6, 9.169230769230769)","(6.0, 7.2, 6.685714285714285)","(21.0, 29.0, 20.6875)","(14.0, 24.0, 20.444444444444443)","(26.0, 90.0, 50.0)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:24.536965,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 46.0, 33.5)","(4.8, 5.3, 5.277011494252873)","(21.0, 65.0, 42.0)","(8.5, 13.0, 11.928571428571429)","(8.0, 9.6, 8.8)","(6.0, 7.2, 6.670588235294117)","(21.0, 29.0, 23.75)","(14.0, 24.0, 21.0)","(26.0, 90.0, 50.0)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:26.049919,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 44.0, 33.5)","(4.8, 5.3, 5.277011494252873)","(21.0, 55.0, 42.0)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.6, 8.8)","(6.0, 7.2, 6.670588235294117)","(21.0, 28.0, 23.75)","(14.0, 23.0, 21.0)","(26.0, 90.0, 50.0)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:27.695653,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 44.0, 33.5)","(4.8, 5.3, 5.277011494252873)","(21.0, 55.0, 42.0)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.6, 8.666666666666666)","(6.0, 7.2, 6.670588235294117)","(21.0, 28.0, 22.5)","(14.0, 23.0, 20.666666666666668)","(26.0, 90.0, 60.0)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:29.186459,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 35.666666666666664)","(4.8, 5.3, 4.966666666666667)","(21.0, 55.0, 35.5)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.6, 8.584615384615384)","(6.0, 7.2, 6.628571428571428)","(21.0, 27.0, 23.833333333333332)","(14.0, 22.0, 20.666666666666668)","(26.0, 90.0, 60.0)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:30.697007,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 35.666666666666664)","(4.8, 5.3, 4.966666666666667)","(21.0, 55.0, 35.5)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.6, 8.8)","(6.0, 7.0, 6.628571428571428)","(21.0, 26.0, 25.07142857142857)","(14.0, 22.0, 20.666666666666668)","(26.0, 90.0, 60.0)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:32.253064,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 35.666666666666664)","(4.8, 5.3, 4.966666666666667)","(21.0, 55.0, 35.5)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.2, 8.8)","(6.0, 7.0, 6.62051282051282)","(21.0, 26.0, 24.214285714285715)","(14.0, 22.0, 20.666666666666668)","(26.0, 90.0, 60.0)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:33.873094,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 35.666666666666664)","(4.8, 5.3, 4.966666666666667)","(21.0, 55.0, 35.5)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.2, 8.8)","(6.0, 7.0, 6.62051282051282)","(21.0, 25.0, 23.625)","(14.0, 22.0, 20.666666666666668)","(26.0, 90.0, 60.0)","(41.0, 95.0, 71.66666666666667)"
