,Donovans Warrior,Red October,Top Honors,Pink Higgins,Nerky Rose,Call Me Firey,Quiet As Midnight
08-12-2022 12:30:57.196482,"(21.0, 210.0, 147.33333333333331)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 10.96)","(15.0, 27.0, 20.0)","(4.6, 6.4, 5.966666666666667)"
08-12-2022 12:30:58.309597,"(21.0, 210.0, 147.33333333333331)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 10.96)","(15.0, 27.0, 20.0)","(4.6, 6.4, 5.966666666666667)"
08-12-2022 12:30:59.600850,"(21.0, 210.0, 147.33333333333331)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 10.96)","(15.0, 27.0, 20.0)","(4.6, 6.4, 5.966666666666667)"
08-12-2022 12:31:00.631147,"(21.0, 210.0, 147.33333333333331)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 10.96)","(15.0, 27.0, 20.0)","(4.6, 6.4, 5.966666666666667)"
08-12-2022 12:31:01.666864,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 10.96)","(15.0, 27.0, 20.0)","(4.6, 6.4, 5.966666666666667)"
08-12-2022 12:31:02.605961,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 11.133333333333333)","(15.0, 27.0, 21.4)","(4.6, 6.4, 5.966666666666667)"
08-12-2022 12:31:03.567692,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 11.133333333333333)","(15.0, 27.0, 22.75)","(4.6, 6.4, 5.8076923076923075)"
08-12-2022 12:31:04.590321,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.75)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:05.681099,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:06.584886,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.8)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:07.488275,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.0, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:08.428370,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.4, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:09.350562,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.7928571428571427)","(4.6, 6.4, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:10.284500,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.4, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:11.204134,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.4, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:12.133549,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.4, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:13.064433,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.4, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:14.025597,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.4, 5.885714285714286)","(10.0, 12.0, 11.133333333333333)","(15.0, 26.0, 22.0)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:14.970550,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.2, 5.92)","(10.0, 12.0, 11.133333333333333)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:15.916860,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.2, 5.92)","(10.0, 12.0, 11.133333333333333)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:16.839352,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.2, 5.92)","(10.0, 12.0, 10.581818181818182)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:17.771480,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 4.021875)","(4.6, 6.2, 5.92)","(10.0, 12.0, 10.581818181818182)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:18.736600,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.673809523809524)","(2.9, 4.2, 3.975)","(4.6, 6.2, 6.036363636363636)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:19.654668,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.975)","(4.6, 6.2, 6.036363636363636)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 5.7)"
08-12-2022 12:31:20.614831,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.975)","(4.6, 6.2, 6.036363636363636)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:21.541633,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.975)","(4.6, 6.2, 6.036363636363636)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
