,Nando Sid,At Sea,Gotham Ethics,Feel The Magic,Queen Missile,Remembering,Outlaw Rambo
14-12-2022 13:05:48.016608,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:49.187199,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:50.383971,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:51.436587,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:52.419084,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:53.439102,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:54.413474,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:55.431074,"(6.5, 16.5, 8.5375)","(1.85, 2.38, 2.11972602739726)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:56.500518,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1283870967741936)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:57.923453,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1283870967741936)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:05:59.049224,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1283870967741936)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:00.037226,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1283870967741936)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:01.189951,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1283870967741936)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:02.366746,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1283870967741936)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:03.709077,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1283870967741936)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:04.974810,"(6.5, 16.5, 8.5375)","(1.85, 2.32, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
