,Tarantula,Henryk Bale,Barefoot Di,Lucius Malfoy,Blazing Infrared,Harlem Shuffle,Big Jim Buzz,Winlock All Over
10-01-2023 19:28:52.563648,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 15.5, 14.0875)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.12, 2.057777777777778)"
10-01-2023 19:28:53.928212,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 17.5, 13.16470588235294)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.12, 2.057777777777778)"
10-01-2023 19:28:55.301136,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 16.5, 14.316666666666666)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.12, 2.057777777777778)"
10-01-2023 19:28:56.708883,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 15.5, 14.316666666666666)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.12, 2.057777777777778)"
10-01-2023 19:28:58.117117,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 15.5, 12.8375)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.12, 2.06875)"
10-01-2023 19:28:59.445811,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 15.5, 12.8375)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.5, 2.081904761904762)"
10-01-2023 19:29:00.775077,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.48, 2.081904761904762)"
10-01-2023 19:29:01.991938,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.48, 2.081904761904762)"
10-01-2023 19:29:03.291804,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.48, 2.11)"
10-01-2023 19:29:04.639430,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.11)"
10-01-2023 19:29:05.975400,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.11)"
10-01-2023 19:29:07.296967,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.11)"
10-01-2023 19:29:08.528544,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.11)"
10-01-2023 19:29:09.715285,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.11)"
10-01-2023 19:29:11.001831,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.11)"
10-01-2023 19:29:12.338826,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.11)"
10-01-2023 19:29:13.648444,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.46, 2.128888888888889)"
10-01-2023 19:29:14.926395,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:16.236684,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:17.487949,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:18.791364,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:20.044978,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:21.265752,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:22.498176,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:23.807225,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:25.007111,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:26.277398,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:27.536909,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:28.834007,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.0642424242424244)"
10-01-2023 19:29:30.225061,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 13.483333333333334)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:31.547332,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.120000000000001)","(9.0, 14.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:32.894893,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:34.237425,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:35.788732,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.128888888888889)"
10-01-2023 19:29:37.210208,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 18.0)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.0642424242424244)"
10-01-2023 19:29:38.682299,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.44, 2.12)"
10-01-2023 19:29:40.090123,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.4, 2.12)"
10-01-2023 19:29:41.377031,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.4, 2.0966666666666667)"
10-01-2023 19:29:42.717219,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.38, 2.0966666666666667)"
