,Fallon Jewel,Smash Jagger,Goldstar Vargas,Silky Skylar,Impressive Amy,Retread Pete,Beau View Winnie,Homebush Bluey
06-01-2023 11:40:05.596090,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 9.375)"
06-01-2023 11:40:06.818757,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 9.375)"
06-01-2023 11:40:08.043695,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 9.375)"
06-01-2023 11:40:09.369120,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 9.375)"
06-01-2023 11:40:10.584815,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 9.375)"
06-01-2023 11:40:11.759375,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 9.375)"
06-01-2023 11:40:13.034829,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 9.375)"
06-01-2023 11:40:14.382643,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:15.668773,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:16.920834,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 21.07142857142857)","(5.0, 17.0, 12.866666666666665)"
