,Violetta Gift,La Perriere,Kimora Saffi,Leanne Leeann,Keayang Xena,Copacabana,Kyvalleyhoneybunny
11-01-2023 18:14:14.148348,"(18.0, 38.0, 29.200000000000003)","(5.0, 8.4, 6.733333333333333)","(4.2, 5.9, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.79)","(5.0, 7.8, 6.872727272727272)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:15.211537,"(18.0, 38.0, 29.200000000000003)","(5.0, 8.2, 6.475)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.79)","(5.0, 7.6, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:16.355080,"(18.0, 38.0, 29.200000000000003)","(5.0, 8.0, 6.25)","(4.2, 6.0, 5.35)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.6, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:17.525252,"(18.0, 38.0, 29.200000000000003)","(5.0, 8.0, 6.25)","(4.2, 6.0, 5.35)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.6, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:18.861548,"(18.0, 38.0, 29.200000000000003)","(5.0, 8.0, 6.25)","(4.2, 6.0, 5.35)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.6, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:20.076764,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:21.260857,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:22.315134,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:23.562113,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:24.866957,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
