,Shore Lanka,Global Beauty,Dimes Ambition,Kraken Jock,Redleg Bull Ant,Afro Puff,Our Rascal,Orson King
12-01-2023 08:23:53.644065,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:23:54.731642,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:23:55.957659,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:23:57.119718,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:23:58.257000,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:23:59.404653,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:00.557581,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:01.627470,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:02.737527,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:03.905573,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:04.999091,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:06.083077,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:07.164660,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:08.264913,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:09.426967,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:10.512670,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:11.520724,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:12.524609,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:13.514554,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:14.533721,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:15.500623,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:16.521845,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:17.596685,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:18.701905,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:19.828737,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:20.983172,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:22.101699,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
12-01-2023 08:24:23.194961,"(20.0, 75.0, 62.608695652173914)","(5.0, 10.0, 8.514285714285714)","(6.0, 12.5, 10.615625)","(5.0, 11.5, 9.722222222222221)","(7.5, 15.0, 12.052631578947368)","(5.0, 10.5, 8.95945945945946)","(15.0, 40.0, 29.615384615384617)","(3.2, 5.2, 3.408333333333333)"
