,Antarctic Ocean,Ashim,Shalaga,Beagle,Coastal Town,Belthil,Rich Memories,Trust Rusty,Rock Dee Jay,Navy Black,Pammy Joy,Pistachio,Tonys Kick
06-01-2023 14:58:57.676470,"(17.0, 19.5, 19.565573770491802)","(10.0, 11.0, 10.692063492063491)","(7.0, 8.4, 8.2675)","(10.0, 11.5, 11.291208791208792)","(6.5, 7.4, 7.170422535211268)","(4.8, 6.0, 6.195411392405063)","(31.0, 55.0, 51.964285714285715)","(10.0, 12.5, 12.397810218978103)","(9.0, 11.5, 11.170157068062828)","(26.0, 38.0, 37.416666666666664)","(18.0, 26.0, 25.19607843137255)","(10.0, 12.5, 12.038709677419355)","(101.0, 330.0, 305.0)"
06-01-2023 14:58:59.243541,"(17.0, 20.0, 19.565573770491802)","(10.0, 11.0, 10.692063492063491)","(7.0, 8.4, 8.2675)","(10.0, 11.5, 11.291208791208792)","(6.5, 7.2, 7.139041095890411)","(4.8, 6.2, 6.261744966442953)","(31.0, 55.0, 51.81818181818182)","(10.0, 12.5, 12.397058823529411)","(9.0, 11.5, 11.155737704918034)","(26.0, 38.0, 37.18604651162791)","(18.0, 26.0, 25.73913043478261)","(10.0, 12.5, 12.043046357615895)","(101.0, 330.0, 313.3333333333333)"
06-01-2023 14:59:00.905244,"(17.0, 19.5, 19.438356164383563)","(10.0, 11.0, 10.684039087947882)","(7.0, 8.4, 8.241379310344827)","(10.0, 11.5, 11.225663716814159)","(6.5, 7.2, 7.179646017699115)","(4.8, 6.4, 6.242253521126761)","(31.0, 55.0, 51.81818181818182)","(10.0, 12.5, 12.397058823529411)","(9.0, 11.5, 11.155737704918034)","(26.0, 38.0, 36.666666666666664)","(18.0, 26.0, 25.770114942528735)","(10.0, 12.5, 12.043046357615895)","(101.0, 330.0, 305.0)"
06-01-2023 14:59:02.699305,"(17.0, 20.0, 19.41025641025641)","(10.0, 11.0, 10.630584192439862)","(7.5, 8.4, 8.30967741935484)","(10.0, 11.5, 11.252252252252251)","(6.5, 7.2, 7.081147540983607)","(4.8, 6.4, 6.271698113207547)","(31.0, 55.0, 54.0)","(10.0, 12.5, 12.348275862068965)","(9.0, 11.5, 11.13888888888889)","(26.0, 38.0, 36.865671641791046)","(18.0, 26.0, 25.775280898876403)","(10.0, 12.0, 11.808755760368664)","(101.0, 330.0, 313.3333333333333)"
06-01-2023 14:59:04.345598,"(17.0, 19.5, 19.41025641025641)","(10.0, 11.0, 10.613772455089821)","(7.5, 8.4, 8.308851224105462)","(10.0, 11.5, 11.31418918918919)","(6.5, 7.2, 7.097350993377484)","(4.8, 6.4, 6.315403422982885)","(31.0, 55.0, 53.54838709677419)","(10.0, 12.5, 12.436936936936936)","(9.0, 11.5, 11.195945945945946)","(26.0, 38.0, 36.78688524590164)","(18.0, 26.0, 25.79310344827586)","(10.0, 12.0, 11.80048076923077)","(101.0, 330.0, 307.27272727272725)"
06-01-2023 14:59:06.004618,"(17.0, 19.5, 19.34259259259259)","(10.0, 11.0, 10.653225806451612)","(7.5, 8.4, 8.308851224105462)","(10.0, 11.5, 11.31418918918919)","(6.5, 7.2, 7.132057416267942)","(4.8, 6.4, 6.31593533487298)","(31.0, 55.0, 53.54838709677419)","(10.0, 12.5, 12.373913043478261)","(9.0, 11.5, 11.195945945945946)","(26.0, 38.0, 36.60377358490566)","(18.0, 26.0, 24.87878787878788)","(10.0, 12.0, 11.851744186046512)","(101.0, 330.0, 264.0)"
06-01-2023 14:59:07.645059,"(17.0, 19.5, 19.35593220338983)","(10.0, 11.0, 10.730861244019138)","(7.0, 8.4, 8.311029411764705)","(10.0, 11.5, 11.326923076923077)","(6.5, 7.2, 7.094845360824742)","(5.0, 6.4, 6.313947990543736)","(31.0, 55.0, 53.63636363636364)","(10.0, 12.5, 12.354477611940299)","(9.0, 11.5, 11.207792207792208)","(26.0, 38.0, 35.84615384615385)","(19.0, 25.0, 24.883495145631066)","(10.0, 12.0, 11.845744680851064)","(101.0, 310.0, 287.5)"
06-01-2023 14:59:09.171461,"(17.0, 19.5, 19.35593220338983)","(10.0, 11.0, 10.730861244019138)","(7.0, 8.4, 8.135064935064936)","(10.0, 11.5, 11.326923076923077)","(6.5, 7.2, 7.107272727272727)","(5.0, 6.4, 6.315740740740741)","(31.0, 55.0, 53.5)","(10.0, 12.5, 12.354477611940299)","(9.0, 11.5, 11.209606986899564)","(26.0, 36.0, 35.53333333333333)","(19.0, 25.0, 24.870967741935484)","(10.0, 12.0, 11.7926267281106)","(101.0, 310.0, 257.5)"
06-01-2023 14:59:10.911701,"(17.0, 19.5, 19.26875)","(10.0, 11.0, 10.680887372013652)","(7.0, 8.4, 8.286666666666667)","(10.0, 11.5, 11.326923076923077)","(6.5, 7.2, 7.107272727272727)","(5.0, 6.4, 6.188046647230321)","(31.0, 55.0, 53.5)","(10.0, 12.5, 12.354477611940299)","(9.0, 11.5, 11.21608040201005)","(26.0, 36.0, 35.67272727272727)","(19.0, 25.0, 24.0989010989011)","(10.0, 12.0, 11.75268817204301)","(101.0, 320.0, 287.5)"
06-01-2023 14:59:12.481372,"(17.0, 19.5, 19.262820512820515)","(10.0, 11.0, 10.702572347266882)","(7.0, 8.4, 8.354464285714286)","(10.0, 11.5, 11.383040935672515)","(6.5, 7.2, 7.137993920972645)","(5.0, 6.2, 6.1637515842839035)","(31.0, 55.0, 53.214285714285715)","(10.0, 12.5, 12.333333333333334)","(9.0, 11.5, 11.25219298245614)","(26.0, 36.0, 36.390243902439025)","(19.0, 25.0, 23.719101123595507)","(10.0, 12.0, 11.823843416370106)","(101.0, 310.0, 287.5)"
